window_id,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,win_rate,loss_rate,expectancy,standard_deviation_trade,average_win,average_loss,risk_reward_ratio,largest_win,largest_loss,long_number_of_trades,long_total_profit,long_win_rate,long_profit_factor,long_expectancy,short_number_of_trades,short_total_profit,short_win_rate,short_profit_factor,short_expectancy,longest_losing_streak,longest_winning_streak,max_drawdown,average_drawdown,recovery_factor,biggest_loss,median_trade,std_trade,first_quartile,third_quartile,interquartile_range,profit_from_top_5_trades,profit_from_top_10_trades,top_5_trades_share,top_10_trades_share,long_profit_share,short_profit_share,skewness,kurtosis,coefficient_of_variation,profitable_windows_share,profitable_repetitions_share,average_profit_per_window,std_profit_per_window,window_profit_consistency,worst_window_profit,best_window_profit,average_trade_count_per_window,min_trade_count_per_window
1,26.0,-74.0,293.3333333333333,367.3333333333333,0.7409535862053024,0.21856118791602663,0.7814388120839734,-4.2196620583717355,29.863224162356016,61.0,19.0,3.210526315789474,61.0,19.0,7.0,-73.0,0.1037037037037037,0.26973684210526316,-12.777777777777779,19.0,-1.0,0.2593939393939394,0.9371588693957116,-1.4363636363636363,10.333333333333334,2.3333333333333335,212.33333333333334,116.35863095238096,-0.3191283483681145,19.0,-19.0,29.863224162356016,-19.0,11.0,30.0,145.0,210.0,-14.370738475478538,-28.004134103522485,5.123400158568354,-4.123400158568354,1.8211106971909983,3.3066141257883466,-69.75422136605472,0.0,0.0,-74.0,0.0,0.0,-74.0,-74.0,26.0,26.0
2,9.666666666666666,1.3333333333333333,115.33333333333333,114.0,1.9974937343358397,0.5032679738562091,0.4967320261437908,4.823529411764706,24.005906904757904,32.666666666666664,19.0,1.719298245614035,32.666666666666664,19.0,2.3333333333333335,-44.333333333333336,0.0,0.0,-6.333333333333333,7.333333333333333,45.666666666666664,0.5444444444444444,2.1704260651629075,7.5,6.0,3.6666666666666665,114.0,66.5,0.9974937343358397,19.0,11.0,24.005906904757904,-11.5,11.0,22.5,90.0,45.666666666666664,0.5981691919191919,0.6536458333333334,0.3463541666666667,0.6536458333333334,-0.02342619209378105,-0.6948979591836731,0.2775954723235916,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.0,0.0,1.3333333333333333,1.3333333333333333,9.666666666666666,9.666666666666666
3,9.333333333333334,82.66666666666667,222.0,139.33333333333334,1.6228070175438596,0.21666666666666667,0.7833333333333333,9.166666666666666,56.601310679239894,111.0,19.0,5.842105263157895,111.0,19.0,5.0,35.0,0.20000000000000004,1.4605263157894737,7.0,4.333333333333333,47.666666666666664,0.24444444444444446,1.9473684210526316,12.777777777777777,5.333333333333333,1.0,101.33333333333333,51.72222222222222,0.8830409356725145,19.0,-19.0,56.601310679239894,-19.0,-8.166666666666666,10.833333333333334,165.0,82.66666666666667,2.0806878306878307,1.0,0.441358024691358,0.558641975308642,1.6659089891118726,0.9375,6.706151994198634,1.0,1.0,82.66666666666667,0.0,0.0,82.66666666666667,82.66666666666667,9.333333333333334,9.333333333333334
