window_id,train_start,train_end,test_start,test_end,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,raw_test_fitness,test_fitness,test_fitness_multiplier,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
1,0,22406,22406,53560,5,285,7.25,3,9,2,-441.0,-441.0,-441.0,1.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14
2,0,53560,53560,86986,14,1638,6.25,1,22,27,-76.0,-38.0,-76.0,2.0,2,-38.0,106.0,144.0,0.7361111111111112,144.0,0.5,-19.0,144.0,1
3,0,86986,86986,125287,13,543,10.0,3,23,2,324.0,108.0,324.0,3.0,8,108.0,222.0,114.0,1.9473684210526316,76.0,0.25,13.5,19.0,4
4,0,125287,125287,130699,12,2193,3.5,9,15,2,-4000.0,-1000.0,-4000.0,4.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0
