dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
train,1,0,53560,53560,86986,0,14,3625,9.75,4,22,13,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0
test,1,0,53560,53560,86986,0,14,3625,9.75,4,22,13,64.0,2,32.0,106.0,74.0,1.4324324324324325,74.0,0.5,16.0,74.0,1
train,1,0,53560,53560,86986,1,14,3625,5.0,4,22,13,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0
test,1,0,53560,53560,86986,1,14,3625,5.0,4,22,13,64.0,2,32.0,106.0,74.0,1.4324324324324325,74.0,0.5,16.0,74.0,1
train,1,0,53560,53560,86986,2,14,1704,5.0,7,22,13,106.0,1,106.0,106.0,0.0,inf,0.0,1.0,106.0,0.0,0
test,1,0,53560,53560,86986,2,14,1704,5.0,7,22,13,64.0,2,32.0,106.0,74.0,1.4324324324324325,74.0,0.5,16.0,74.0,1
train,1,0,53560,53560,86986,3,13,2777,8.5,8,27,4,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0
test,1,0,53560,53560,86986,3,13,2777,8.5,8,27,4,262.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0
train,1,0,53560,53560,86986,4,13,530,8.5,8,27,6,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0
test,1,0,53560,53560,86986,4,13,530,8.5,8,27,6,262.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0
train,1,0,53560,53560,86986,5,13,530,8.5,7,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0
test,1,0,53560,53560,86986,5,13,530,8.5,7,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1
train,1,0,53560,53560,86986,6,13,535,8.5,8,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0
test,1,0,53560,53560,86986,6,13,535,8.5,8,27,3,262.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0
train,1,0,53560,53560,86986,7,13,535,8.0,8,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0
test,1,0,53560,53560,86986,7,13,535,8.0,8,27,3,262.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0
train,1,0,53560,53560,86986,8,13,441,4.5,10,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0
test,1,0,53560,53560,86986,8,13,441,4.5,10,27,3,214.0,2,107.0,131.0,24.0,5.458333333333333,24.0,0.5,53.5,24.0,1
train,1,0,53560,53560,86986,9,13,2871,4.5,10,27,4,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0
test,1,0,53560,53560,86986,9,13,2871,4.5,10,27,4,204.0,2,102.0,131.0,29.0,4.517241379310345,29.0,0.5,51.0,29.0,1
train,1,0,53560,53560,86986,10,13,2871,4.5,10,27,13,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0
test,1,0,53560,53560,86986,10,13,2871,4.5,10,27,13,114.0,2,57.0,131.0,74.0,1.7702702702702702,74.0,0.5,28.5,74.0,1
