dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
test,1,0,22406,22406,53560,17,7,669,6.5,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,18,7,722,7.0,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,18,7,722,7.0,4,3,2,-35.69313659514949,26,-14.0,176.0,190.0,0.9263157894736842,94.0,0.6153846153846154,-0.5384615384615384,19.0,2
train,1,0,22406,22406,53560,19,7,669,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,19,7,669,6.5,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,20,7,669,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,20,7,669,6.5,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,21,7,642,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,21,7,642,6.5,4,3,2,-193.47981160834325,31,-139.0,165.0,304.0,0.5427631578947368,183.0,0.4838709677419355,-4.483870967741935,19.0,4
train,1,0,22406,22406,53560,22,7,642,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,22,7,642,6.5,4,3,2,-193.47981160834325,31,-139.0,165.0,304.0,0.5427631578947368,183.0,0.4838709677419355,-4.483870967741935,19.0,4
train,1,0,22406,22406,53560,23,7,669,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,23,7,669,6.5,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,24,7,669,6.25,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,24,7,669,6.25,4,3,2,-224.0379432149831,33,-117.0,187.0,304.0,0.6151315789473685,161.0,0.5151515151515151,-3.5454545454545454,19.0,3
train,1,0,22406,22406,53560,25,7,695,7.25,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,25,7,695,7.25,4,3,2,-35.69313659514949,26,-14.0,176.0,190.0,0.9263157894736842,94.0,0.6153846153846154,-0.5384615384615384,19.0,2
train,1,0,22406,22406,53560,26,7,669,6.25,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,26,7,669,6.25,4,3,2,-224.0379432149831,33,-117.0,187.0,304.0,0.6151315789473685,161.0,0.5151515151515151,-3.5454545454545454,19.0,3
train,1,0,22406,22406,53560,27,7,669,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,27,7,669,6.5,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,28,7,669,7.0,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,28,7,669,7.0,4,3,2,-35.69313659514949,26,-14.0,176.0,190.0,0.9263157894736842,94.0,0.6153846153846154,-0.5384615384615384,19.0,2
train,1,0,22406,22406,53560,29,7,715,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,29,7,715,6.5,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,30,7,669,6.75,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,30,7,669,6.75,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,31,7,669,7.0,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,31,7,669,7.0,4,3,2,-35.69313659514949,26,-14.0,176.0,190.0,0.9263157894736842,94.0,0.6153846153846154,-0.5384615384615384,19.0,2
train,1,0,22406,22406,53560,32,7,669,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,32,7,669,6.5,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,33,7,669,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,33,7,669,6.5,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,34,7,669,7.0,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,34,7,669,7.0,4,3,2,-35.69313659514949,26,-14.0,176.0,190.0,0.9263157894736842,94.0,0.6153846153846154,-0.5384615384615384,19.0,2
train,1,0,22406,22406,53560,35,7,669,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,35,7,669,6.5,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,36,7,669,6.25,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,36,7,669,6.25,4,3,2,-224.0379432149831,33,-117.0,187.0,304.0,0.6151315789473685,161.0,0.5151515151515151,-3.5454545454545454,19.0,3
train,1,0,22406,22406,53560,37,7,669,7.0,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,37,7,669,7.0,4,3,2,-35.69313659514949,26,-14.0,176.0,190.0,0.9263157894736842,94.0,0.6153846153846154,-0.5384615384615384,19.0,2
train,1,0,22406,22406,53560,38,7,655,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,38,7,655,6.5,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,39,7,520,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,39,7,520,6.5,4,3,2,-85.40857685267915,26,-134.0,132.0,266.0,0.49624060150375937,178.0,0.46153846153846156,-5.153846153846154,19.0,8
train,1,0,22406,22406,53560,40,7,669,7.0,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,40,7,669,7.0,4,3,2,-35.69313659514949,26,-14.0,176.0,190.0,0.9263157894736842,94.0,0.6153846153846154,-0.5384615384615384,19.0,2
train,1,0,22406,22406,53560,41,7,715,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,41,7,715,6.5,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,42,7,520,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,42,7,520,6.5,4,3,2,-85.40857685267915,26,-134.0,132.0,266.0,0.49624060150375937,178.0,0.46153846153846156,-5.153846153846154,19.0,8
train,1,0,22406,22406,53560,43,7,715,6.75,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,43,7,715,6.75,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,44,7,669,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,44,7,669,6.5,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,45,7,548,6.0,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,45,7,548,6.0,4,3,2,-108.78032910411699,29,-101.0,165.0,266.0,0.6203007518796992,145.0,0.5172413793103449,-3.4827586206896552,19.0,5
train,1,0,22406,22406,53560,46,7,602,6.25,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,46,7,602,6.25,4,3,2,-202.29543851615745,31,-109.0,176.0,285.0,0.6175438596491228,153.0,0.5161290322580645,-3.5161290322580645,19.0,3
train,1,0,22406,22406,53560,47,7,669,7.0,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,47,7,669,7.0,4,3,2,-35.69313659514949,26,-14.0,176.0,190.0,0.9263157894736842,94.0,0.6153846153846154,-0.5384615384615384,19.0,2
train,1,0,22406,22406,53560,48,7,669,6.25,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,48,7,669,6.25,4,3,2,-224.0379432149831,33,-117.0,187.0,304.0,0.6151315789473685,161.0,0.5151515151515151,-3.5454545454545454,19.0,3
train,1,0,22406,22406,53560,49,7,671,6.75,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,49,7,671,6.75,4,3,2,-211.11267726027256,33,-147.0,176.0,323.0,0.544891640866873,191.0,0.48484848484848486,-4.454545454545454,19.0,4
train,1,0,22406,22406,53560,50,7,722,6.25,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,50,7,722,6.25,4,3,2,-224.0379432149831,33,-117.0,187.0,304.0,0.6151315789473685,161.0,0.5151515151515151,-3.5454545454545454,19.0,3
train,1,0,22406,22406,53560,51,7,615,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,51,7,615,6.5,4,3,2,-193.47981160834325,31,-139.0,165.0,304.0,0.5427631578947368,183.0,0.4838709677419355,-4.483870967741935,19.0,4
train,1,0,22406,22406,53560,52,7,669,7.0,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
test,1,0,22406,22406,53560,52,7,669,7.0,4,3,2,-35.69313659514949,26,-14.0,176.0,190.0,0.9263157894736842,94.0,0.6153846153846154,-0.5384615384615384,19.0,2
train,1,0,22406,22406,53560,53,7,655,6.5,4,3,2,145.4922678357857,12,42.0,99.0,57.0,1.736842105263158,19.0,0.75,3.5,19.0,1
