window_id,first_generation,last_generation,first_train_fitness,last_train_fitness,train_improvement,first_test_fitness,last_test_fitness,test_improvement,first_generalization_gap,last_generalization_gap,gap_change,number_of_generations_observed,overfit_flag
1,0.0,100.0,16.0,102.0,86.0,-356.0,39.0,395.0,372.0,63.0,-309.0,101,False
2,0.0,100.0,82.0,131.0,49.0,82.0,7.0,-75.0,0.0,124.0,124.0,101,True
3,0.0,100.0,222.0,222.0,0.0,-930.0,-930.0,0.0,1152.0,1152.0,0.0,101,False
4,0.0,100.0,199.0,447.0,248.0,-1000.0,-1000.0,0.0,1199.0,1447.0,248.0,101,True
