window_id,first_generation,last_generation,first_population_best_fitness,last_population_best_fitness,population_best_improvement,first_population_average_fitness,last_population_average_fitness,population_average_improvement,first_population_median_fitness,last_population_median_fitness,population_median_improvement,first_std_fitness,last_std_fitness,std_change,first_fitness_range,last_fitness_range,fitness_range_change,first_best_so_far_fitness,last_best_so_far_fitness,best_so_far_improvement,final_selected_generation,number_of_generations_observed,optimizer_learned
1,0.0,100.0,64.0,271.0,207.0,-1197.53,237.55,1435.08,-965.0,251.0,1216.0,2080.6090913504395,48.47083367522904,-2032.1382576752105,17152.0,305.0,-16847.0,64.0,271.0,207.0,98,101,True
2,0.0,100.0,106.0,106.0,0.0,-1186.73,84.65,1271.38,-489.0,106.0,595.0,1874.5998406932808,107.39010121228044,-1767.2097394810005,9892.0,833.0,-9059.0,106.0,198.0,92.0,3,101,True
3,0.0,100.0,252.0,262.0,10.0,-1392.9,237.67,1630.5700000000002,-330.0,262.0,592.0,2868.2716630984123,108.97929142546285,-2759.2923716729497,16815.0,858.0,-15957.0,252.0,355.0,103.0,3,101,True
4,0.0,100.0,278.0,434.0,156.0,-2194.1,423.96,2618.06,-578.5,434.0,1012.5,4032.1338774972,38.16972198965663,-3993.9641555075436,28565.0,242.0,-28323.0,278.0,434.0,156.0,9,101,True
