dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,analysis_generation,selected_generation
test,4,86986,125287,125287,130699,3,14,2437,4.75,6,10,2,-1000.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,17,3
train,4,86986,125287,125287,130699,3,14,2437,4.75,6,10,2,815.8896984274284,11,246.0,322.0,76.0,4.2368421052631575,19.0,0.6363636363636364,22.363636363636363,19.0,1,17,3
test,4,86986,125287,125287,130699,3,14,2437,4.75,6,10,2,-1000.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,18,3
train,4,86986,125287,125287,130699,3,14,2437,4.75,6,10,2,815.8896984274284,11,246.0,322.0,76.0,4.2368421052631575,19.0,0.6363636363636364,22.363636363636363,19.0,1,18,3
test,4,86986,125287,125287,130699,3,14,2437,4.75,6,10,2,-1000.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,19,3
train,4,86986,125287,125287,130699,3,14,2437,4.75,6,10,2,815.8896984274284,11,246.0,322.0,76.0,4.2368421052631575,19.0,0.6363636363636364,22.363636363636363,19.0,1,19,3
test,4,86986,125287,125287,130699,3,14,2437,4.75,6,10,2,-1000.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,20,3
train,4,86986,125287,125287,130699,3,14,2437,4.75,6,10,2,815.8896984274284,11,246.0,322.0,76.0,4.2368421052631575,19.0,0.6363636363636364,22.363636363636363,19.0,1,20,3
test,4,86986,125287,125287,130699,3,14,2437,4.75,6,10,2,-1000.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,21,3
train,4,86986,125287,125287,130699,3,14,2437,4.75,6,10,2,815.8896984274284,11,246.0,322.0,76.0,4.2368421052631575,19.0,0.6363636363636364,22.363636363636363,19.0,1,21,3
test,4,86986,125287,125287,130699,3,14,2437,4.75,6,10,2,-1000.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0,22,3
train,4,86986,125287,125287,130699,3,14,2437,4.75,6,10,2,815.8896984274284,11,246.0,322.0,76.0,4.2368421052631575,19.0,0.6363636363636364,22.363636363636363,19.0,1,22,3
