max_drawdown,net_profit,number_of_trades,win_rate,expectancy,gross_profit,gross_loss,profit_factor,recovery_factor,longest_losing_streak,simulation_id
490.0,-290.0,135,0.23703703703703705,-2.1481481481481484,1667.0,1957.0,0.8518140010219724,-0.5918367346938775,12,1
593.0,-35.0,135,0.25925925925925924,-0.25925925925925924,1865.0,1900.0,0.9815789473684211,-0.05902192242833052,13,2
270.0,450.0,135,0.32592592592592595,3.3333333333333335,2179.0,1729.0,1.260266049739734,1.6666666666666667,9,3
248.0,560.0,135,0.31851851851851853,4.148148148148148,2308.0,1748.0,1.3203661327231122,2.2580645161290325,8,4
629.0,50.0,135,0.2740740740740741,0.37037037037037035,1912.0,1862.0,1.0268528464017186,0.0794912559618442,25,5
244.0,615.0,135,0.2962962962962963,4.555555555555555,2420.0,1805.0,1.3407202216066483,2.5204918032786887,12,6
701.0,-660.0,135,0.22962962962962963,-4.888888888888889,1316.0,1976.0,0.6659919028340081,-0.9415121255349501,13,7
377.0,60.0,135,0.28888888888888886,0.4444444444444444,1884.0,1824.0,1.0328947368421053,0.15915119363395225,9,8
339.0,470.0,135,0.2814814814814815,3.4814814814814814,2313.0,1843.0,1.2550189907759088,1.3864306784660767,17,9
651.0,-605.0,135,0.2222222222222222,-4.481481481481482,1390.0,1995.0,0.6967418546365914,-0.9293394777265745,14,10
543.0,-455.0,135,0.24444444444444444,-3.3703703703703702,1483.0,1938.0,0.7652218782249742,-0.8379373848987108,12,11
602.0,-170.0,135,0.23703703703703705,-1.2592592592592593,1787.0,1957.0,0.9131323454266734,-0.2823920265780731,17,12
436.0,280.0,135,0.28888888888888886,2.074074074074074,2104.0,1824.0,1.1535087719298245,0.6422018348623854,11,13
356.0,5.0,135,0.2740740740740741,0.037037037037037035,1867.0,1862.0,1.002685284640172,0.014044943820224719,9,14
247.0,580.0,135,0.2962962962962963,4.296296296296297,2385.0,1805.0,1.3213296398891967,2.348178137651822,12,15
340.0,420.0,135,0.2814814814814815,3.111111111111111,2263.0,1843.0,1.2278893109061313,1.2352941176470589,13,16
501.0,-430.0,135,0.2222222222222222,-3.185185185185185,1565.0,1995.0,0.7844611528822055,-0.8582834331337326,15,17
368.0,105.0,135,0.2814814814814815,0.7777777777777778,1948.0,1843.0,1.0569723277265328,0.28532608695652173,11,18
545.0,-370.0,135,0.22962962962962963,-2.740740740740741,1606.0,1976.0,0.812753036437247,-0.6788990825688074,12,19
363.0,255.0,135,0.2740740740740741,1.8888888888888888,2117.0,1862.0,1.1369495166487649,0.7024793388429752,13,20
551.0,-25.0,135,0.25925925925925924,-0.18518518518518517,1875.0,1900.0,0.9868421052631579,-0.045372050816696916,14,21
