window_id,first_generation,last_generation,first_population_best_fitness,last_population_best_fitness,population_best_improvement,first_population_average_fitness,last_population_average_fitness,population_average_improvement,first_population_median_fitness,last_population_median_fitness,population_median_improvement,first_std_fitness,last_std_fitness,std_change,first_fitness_range,last_fitness_range,fitness_range_change,first_best_so_far_fitness,last_best_so_far_fitness,best_so_far_improvement,final_selected_generation,number_of_generations_observed,optimizer_learned
1,0.0,100.0,87.0,106.0,19.0,-2177.66,100.95,2278.6099999999997,-621.5,106.0,727.5,4334.872494064615,24.613117550516748,-4310.259376514098,30682.0,125.0,-30557.0,87.0,106.0,19.0,2,101,True
2,0.0,100.0,175.0,228.0,53.0,-3195.6,225.29,3420.89,-814.5,228.0,1042.5,6401.183864621205,15.846036371498984,-6385.337828249706,35432.0,115.0,-35317.0,175.0,228.0,53.0,5,101,True
3,0.0,100.0,229.0,539.0,310.0,-3867.06,532.13,4399.19,-1084.0,539.0,1623.0,6385.142972889677,28.95159841019232,-6356.191374479485,30746.0,181.0,-30565.0,229.0,574.0,345.0,5,101,True
