dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,analysis_generation,selected_generation
train,1,0,22406,22406,53560,11,5,463,7.25,4,9,2,192.0,12,192.0,287.0,95.0,3.0210526315789474,38.0,0.5833333333333334,16.0,19.0,2,16,11
test,1,0,22406,22406,53560,11,5,463,7.25,4,9,2,-109.0,31,-109.0,328.0,437.0,0.7505720823798627,266.0,0.2580645161290322,-3.5161290322580645,19.0,14,17,11
train,1,0,22406,22406,53560,11,5,463,7.25,4,9,2,192.0,12,192.0,287.0,95.0,3.0210526315789474,38.0,0.5833333333333334,16.0,19.0,2,17,11
test,1,0,22406,22406,53560,18,5,304,7.25,4,9,2,-197.0,23,-197.0,164.0,361.0,0.4542936288088642,323.0,0.1739130434782608,-8.565217391304348,19.0,17,18,18
train,1,0,22406,22406,53560,18,5,304,7.25,4,9,2,211.0,11,211.0,287.0,76.0,3.776315789473684,38.0,0.6363636363636364,19.181818181818183,19.0,2,18,18
test,1,0,22406,22406,53560,18,5,304,7.25,4,9,2,-197.0,23,-197.0,164.0,361.0,0.4542936288088642,323.0,0.1739130434782608,-8.565217391304348,19.0,17,19,18
train,1,0,22406,22406,53560,18,5,304,7.25,4,9,2,211.0,11,211.0,287.0,76.0,3.776315789473684,38.0,0.6363636363636364,19.181818181818183,19.0,2,19,18
test,1,0,22406,22406,53560,18,5,304,7.25,4,9,2,-197.0,23,-197.0,164.0,361.0,0.4542936288088642,323.0,0.1739130434782608,-8.565217391304348,19.0,17,20,18
train,1,0,22406,22406,53560,18,5,304,7.25,4,9,2,211.0,11,211.0,287.0,76.0,3.776315789473684,38.0,0.6363636363636364,19.181818181818183,19.0,2,20,18
test,1,0,22406,22406,53560,18,5,304,7.25,4,9,2,-197.0,23,-197.0,164.0,361.0,0.4542936288088642,323.0,0.1739130434782608,-8.565217391304348,19.0,17,21,18
train,1,0,22406,22406,53560,18,5,304,7.25,4,9,2,211.0,11,211.0,287.0,76.0,3.776315789473684,38.0,0.6363636363636364,19.181818181818183,19.0,2,21,18
test,1,0,22406,22406,53560,18,5,304,7.25,4,9,2,-197.0,23,-197.0,164.0,361.0,0.4542936288088642,323.0,0.1739130434782608,-8.565217391304348,19.0,17,22,18
train,1,0,22406,22406,53560,18,5,304,7.25,4,9,2,211.0,11,211.0,287.0,76.0,3.776315789473684,38.0,0.6363636363636364,19.181818181818183,19.0,2,22,18
test,1,0,22406,22406,53560,18,5,304,7.25,4,9,2,-197.0,23,-197.0,164.0,361.0,0.4542936288088642,323.0,0.1739130434782608,-8.565217391304348,19.0,17,23,18
train,1,0,22406,22406,53560,18,5,304,7.25,4,9,2,211.0,11,211.0,287.0,76.0,3.776315789473684,38.0,0.6363636363636364,19.181818181818183,19.0,2,23,18
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,24,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,24,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,25,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,25,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,26,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,26,24
test,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,-441.0,39,-441.0,205.0,646.0,0.3173374613003096,526.0,0.1282051282051282,-11.307692307692308,19.0,14,27,24
train,1,0,22406,22406,53560,24,5,285,7.25,3,9,2,220.0,20,220.0,410.0,190.0,2.1578947368421053,76.0,0.5,11.0,19.0,4,27,24
