dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
train,1,0,86986,86986,125287,21,15,1588,3.0,5,16,6,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,21,15,1588,3.0,5,16,6,99.0,8,33.0,228.0,195.0,1.1692307692307693,156.0,0.375,4.125,39.0,4
train,1,0,86986,86986,125287,22,15,1588,3.25,5,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,22,15,1588,3.25,5,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,23,15,1588,3.0,7,16,6,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,23,15,1588,3.0,7,16,6,99.0,8,33.0,228.0,195.0,1.1692307692307693,156.0,0.375,4.125,39.0,4
train,1,0,86986,86986,125287,24,15,1588,3.0,4,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,24,15,1588,3.0,4,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,25,15,3214,3.0,5,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,25,15,3214,3.0,5,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,26,15,1588,3.25,5,16,6,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,26,15,1588,3.25,5,16,6,99.0,8,33.0,228.0,195.0,1.1692307692307693,156.0,0.375,4.125,39.0,4
train,1,0,86986,86986,125287,27,15,3021,3.25,3,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,27,15,3021,3.25,3,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,28,15,3979,3.25,5,16,3,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,28,15,3979,3.25,5,16,3,324.0,8,108.0,228.0,120.0,1.9,96.0,0.375,13.5,24.0,4
train,1,0,86986,86986,125287,29,15,1588,3.0,6,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,29,15,1588,3.0,6,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,30,15,1588,3.0,3,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,30,15,1588,3.0,3,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,31,15,3246,3.0,4,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,31,15,3246,3.0,4,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,32,15,1588,3.0,3,16,5,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,32,15,1588,3.0,3,16,5,174.0,8,58.0,228.0,170.0,1.3411764705882352,136.0,0.375,7.25,34.0,4
train,1,0,86986,86986,125287,33,15,1588,3.25,5,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,33,15,1588,3.25,5,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,34,15,1588,3.25,3,16,3,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,34,15,1588,3.25,3,16,3,324.0,8,108.0,228.0,120.0,1.9,96.0,0.375,13.5,24.0,4
train,1,0,86986,86986,125287,35,15,1547,3.0,5,16,6,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,35,15,1547,3.0,5,16,6,99.0,8,33.0,228.0,195.0,1.1692307692307693,156.0,0.375,4.125,39.0,4
train,1,0,86986,86986,125287,36,15,1588,3.25,4,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,36,15,1588,3.25,4,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,37,15,1588,3.25,5,16,5,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,37,15,1588,3.25,5,16,5,174.0,8,58.0,228.0,170.0,1.3411764705882352,136.0,0.375,7.25,34.0,4
train,1,0,86986,86986,125287,38,15,3246,3.25,5,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,38,15,3246,3.25,5,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,39,15,1401,3.0,5,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,39,15,1401,3.0,5,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,40,15,1588,3.25,8,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,40,15,1588,3.25,8,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,41,15,1588,3.0,7,16,4,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,41,15,1588,3.0,7,16,4,249.0,8,83.0,228.0,145.0,1.5724137931034483,116.0,0.375,10.375,29.0,4
train,1,0,86986,86986,125287,42,15,3051,3.0,4,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,42,15,3051,3.0,4,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,43,15,1508,3.0,7,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,43,15,1508,3.0,7,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
