window_id,train_start,train_end,test_start,test_end,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,raw_test_fitness,test_fitness,test_fitness_multiplier,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
1,0,86986,86986,125287,14,3612,5.5,10,18,4,81.0,27.0,81.0,3.0,7,27.0,172.0,145.0,1.186206896551724,145.0,0.2857142857142857,3.857142857142857,29.0,5
2,22406,125287,125287,130699,12,1721,3.25,8,26,2,-3000.0,-1000.0,-3000.0,3.0,0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0
