dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,walk_forward_type,fitness_function,train_size,repetition,analysis_generation,selected_generation
train,1,0,22406,22406,53560,18,5,565,7.25,4,9,2,332.55375505322445,12,192.0,287.0,95.0,3.0210526315789474,38.0,0.5833333333333334,16.0,19.0,2,expanding,losing_streak_fitness,expanding,rep_1,23,18
test,1,0,22406,22406,53560,18,5,565,7.25,4,9,2,-4.930066485916346,35,-5.0,451.0,456.0,0.9890350877192984,162.0,0.3142857142857143,-0.1428571428571428,19.0,6,expanding,losing_streak_fitness,expanding,rep_1,24,18
train,1,0,22406,22406,53560,18,5,565,7.25,4,9,2,332.55375505322445,12,192.0,287.0,95.0,3.0210526315789474,38.0,0.5833333333333334,16.0,19.0,2,expanding,losing_streak_fitness,expanding,rep_1,24,18
test,1,0,22406,22406,53560,18,5,565,7.25,4,9,2,-4.930066485916346,35,-5.0,451.0,456.0,0.9890350877192984,162.0,0.3142857142857143,-0.1428571428571428,19.0,6,expanding,losing_streak_fitness,expanding,rep_1,25,18
train,1,0,22406,22406,53560,18,5,565,7.25,4,9,2,332.55375505322445,12,192.0,287.0,95.0,3.0210526315789474,38.0,0.5833333333333334,16.0,19.0,2,expanding,losing_streak_fitness,expanding,rep_1,25,18
test,1,0,22406,22406,53560,18,5,565,7.25,4,9,2,-4.930066485916346,35,-5.0,451.0,456.0,0.9890350877192984,162.0,0.3142857142857143,-0.1428571428571428,19.0,6,expanding,losing_streak_fitness,expanding,rep_1,26,18
train,1,0,22406,22406,53560,18,5,565,7.25,4,9,2,332.55375505322445,12,192.0,287.0,95.0,3.0210526315789474,38.0,0.5833333333333334,16.0,19.0,2,expanding,losing_streak_fitness,expanding,rep_1,26,18
test,1,0,22406,22406,53560,18,5,565,7.25,4,9,2,-4.930066485916346,35,-5.0,451.0,456.0,0.9890350877192984,162.0,0.3142857142857143,-0.1428571428571428,19.0,6,expanding,losing_streak_fitness,expanding,rep_1,27,18
train,1,0,22406,22406,53560,18,5,565,7.25,4,9,2,332.55375505322445,12,192.0,287.0,95.0,3.0210526315789474,38.0,0.5833333333333334,16.0,19.0,2,expanding,losing_streak_fitness,expanding,rep_1,27,18
test,1,0,22406,22406,53560,18,5,565,7.25,4,9,2,-4.930066485916346,35,-5.0,451.0,456.0,0.9890350877192984,162.0,0.3142857142857143,-0.1428571428571428,19.0,6,expanding,losing_streak_fitness,expanding,rep_1,28,18
train,1,0,22406,22406,53560,18,5,565,7.25,4,9,2,332.55375505322445,12,192.0,287.0,95.0,3.0210526315789474,38.0,0.5833333333333334,16.0,19.0,2,expanding,losing_streak_fitness,expanding,rep_1,28,18
test,1,0,22406,22406,53560,18,5,565,7.25,4,9,2,-4.930066485916346,35,-5.0,451.0,456.0,0.9890350877192984,162.0,0.3142857142857143,-0.1428571428571428,19.0,6,expanding,losing_streak_fitness,expanding,rep_1,29,18
train,1,0,22406,22406,53560,18,5,565,7.25,4,9,2,332.55375505322445,12,192.0,287.0,95.0,3.0210526315789474,38.0,0.5833333333333334,16.0,19.0,2,expanding,losing_streak_fitness,expanding,rep_1,29,18
