dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,walk_forward_type,fitness_function,train_size,repetition
test,3,0,86986,86986,125287,12,13,671,8.25,2,19,2,15.635516868818314,11,11.0,182.0,171.0,1.064327485380117,133.0,0.1818181818181818,1.0,19.0,7,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,13,13,671,5.0,2,19,2,529.0897844411664,6,216.0,273.0,57.0,4.789473684210527,19.0,0.5,36.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,13,13,671,5.0,2,19,2,15.635516868818314,11,11.0,182.0,171.0,1.064327485380117,133.0,0.1818181818181818,1.0,19.0,7,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,14,13,671,5.0,1,21,2,602.5744767246617,6,246.0,303.0,57.0,5.315789473684211,19.0,0.5,41.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,14,13,671,5.0,1,21,2,79.05694150420949,10,50.0,202.0,152.0,1.3289473684210529,114.0,0.2,5.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,15,13,671,6.5,2,21,2,602.5744767246617,6,246.0,303.0,57.0,5.315789473684211,19.0,0.5,41.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,15,13,671,6.5,2,21,2,79.05694150420949,10,50.0,202.0,152.0,1.3289473684210529,114.0,0.2,5.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,16,13,671,6.5,2,21,2,602.5744767246617,6,246.0,303.0,57.0,5.315789473684211,19.0,0.5,41.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,16,13,671,6.5,2,21,2,79.05694150420949,10,50.0,202.0,152.0,1.3289473684210529,114.0,0.2,5.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,17,13,671,5.0,2,21,2,602.5744767246617,6,246.0,303.0,57.0,5.315789473684211,19.0,0.5,41.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,17,13,671,5.0,2,21,2,79.05694150420949,10,50.0,202.0,152.0,1.3289473684210529,114.0,0.2,5.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,18,13,671,5.25,1,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,18,13,671,5.25,1,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,19,13,671,5.0,5,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,19,13,671,5.0,5,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,20,13,650,5.0,5,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,20,13,650,5.0,5,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,21,13,671,6.5,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,21,13,671,6.5,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,22,13,671,5.0,5,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,22,13,671,5.0,5,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,23,13,671,6.25,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,23,13,671,6.25,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,24,13,671,5.25,5,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,24,13,671,5.25,5,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,25,13,671,5.0,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,25,13,671,5.0,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,26,13,671,4.75,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,26,13,671,4.75,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,27,13,671,5.25,5,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,27,13,671,5.25,5,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,28,13,671,5.25,3,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,28,13,671,5.25,3,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,29,13,671,8.25,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,29,13,671,8.25,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,30,13,671,6.5,6,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,30,13,671,6.5,6,23,2,160.2,9,89.0,222.0,133.0,1.669172932330827,95.0,0.2222222222222222,9.88888888888889,19.0,5,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,31,13,671,5.0,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,31,13,671,5.0,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,32,13,677,5.0,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,32,13,677,5.0,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,33,13,697,6.25,4,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,33,13,697,6.25,4,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,34,13,671,6.5,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,34,13,671,6.5,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,35,13,671,6.5,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,35,13,671,6.5,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,36,13,676,6.5,1,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,36,13,676,6.5,1,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,37,13,671,5.0,4,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,37,13,671,5.0,4,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,38,13,643,5.0,3,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,38,13,643,5.0,3,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,39,13,671,5.0,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,39,13,671,5.0,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,40,13,671,5.0,1,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,40,13,671,5.0,1,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,41,13,717,5.5,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,41,13,717,5.5,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,42,13,671,5.0,1,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,42,13,671,5.0,1,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
train,3,0,86986,86986,125287,43,13,671,6.25,2,23,2,659.640053362438,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,expanding,losing_streak_fitness,expanding,rep_2
test,3,0,86986,86986,125287,43,13,671,6.25,2,23,2,110.67971810589329,10,70.0,222.0,152.0,1.4605263157894737,114.0,0.2,7.0,19.0,6,expanding,losing_streak_fitness,expanding,rep_2
