generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter,walk_forward_type,fitness_function,train_size,repetition
0,1,0,22406,22406,53560,-54.899339704590254,-1605.5959388071385,-1000.0,-27965.13038688637,3472.650453806561,27910.231047181784,0,expanding,losing_streak_fitness,expanding,rep_1
1,1,0,22406,22406,53560,-54.899339704590254,-844.774613193284,-1000.0,-9023.23079611732,907.9822149760304,8968.331456412729,1,expanding,losing_streak_fitness,expanding,rep_1
2,1,0,22406,22406,53560,81.0,-586.9240294671024,-506.9060419095785,-1390.075357669504,417.3447534225851,1471.075357669504,0,expanding,losing_streak_fitness,expanding,rep_1
3,1,0,22406,22406,53560,6.0,-410.2295433502976,-181.8474041562998,-2607.4011695030285,497.9081580253737,2613.4011695030285,1,expanding,losing_streak_fitness,expanding,rep_1
4,1,0,22406,22406,53560,100.62305898749054,-168.87319840496144,-116.25419019656296,-1200.613593126448,212.28517352969743,1301.2366521139386,0,expanding,losing_streak_fitness,expanding,rep_1
5,1,0,22406,22406,53560,15.874507866387544,-131.96941892968326,-77.73674462105743,-1000.0,192.536914774492,1015.8745078663876,1,expanding,losing_streak_fitness,expanding,rep_1
6,1,0,22406,22406,53560,137.17142559585795,-125.01658985598786,-72.32141211861247,-3827.534585859263,391.2750403630155,3964.706011455122,0,expanding,losing_streak_fitness,expanding,rep_1
7,1,0,22406,22406,53560,126.0317420335052,-87.35089962807746,-46.53212288482765,-1000.0,191.5149975229952,1126.0317420335052,1,expanding,losing_streak_fitness,expanding,rep_1
8,1,0,22406,22406,53560,137.17142559585795,-130.66182511392543,-39.97789012051902,-1000.0,289.9520505683782,1137.171425595858,2,expanding,losing_streak_fitness,expanding,rep_1
9,1,0,22406,22406,53560,159.1979899370592,-146.04362677097143,-39.67992361719534,-1000.0,322.75024668089213,1159.1979899370592,0,expanding,losing_streak_fitness,expanding,rep_1
10,1,0,22406,22406,53560,137.17142559585795,-82.90202040285538,-14.422205101855956,-1000.0,277.47961175331886,1137.171425595858,1,expanding,losing_streak_fitness,expanding,rep_1
11,1,0,22406,22406,53560,159.1979899370592,-29.816895680836424,3.674234614174767,-1000.0,206.87249722242015,1159.1979899370592,2,expanding,losing_streak_fitness,expanding,rep_1
12,1,0,22406,22406,53560,200.65579981650168,30.245774410217464,57.68882040742383,-1000.0,195.03893332030296,1200.6557998165017,0,expanding,losing_streak_fitness,expanding,rep_1
13,1,0,22406,22406,53560,200.65579981650168,88.76648041207578,93.1434079494864,-82.92767933567175,66.23094834148506,283.5834791521734,1,expanding,losing_streak_fitness,expanding,rep_1
14,1,0,22406,22406,53560,228.63070659909175,95.62374477000066,131.6015838146816,-1000.0,139.5977679892006,1228.6307065990918,0,expanding,losing_streak_fitness,expanding,rep_1
15,1,0,22406,22406,53560,271.9319767883137,133.89324182281834,159.1979899370592,-143.10835055998655,69.670446909494,415.04032734830025,0,expanding,losing_streak_fitness,expanding,rep_1
16,1,0,22406,22406,53560,289.2524848640025,155.88168594327587,159.1979899370592,-26.440709353402585,68.18315565173084,315.6931942174051,0,expanding,losing_streak_fitness,expanding,rep_1
17,1,0,22406,22406,53560,289.2524848640025,174.77655561883617,200.65579981650168,-571.4822831899515,102.70857596785572,860.734768053954,1,expanding,losing_streak_fitness,expanding,rep_1
18,1,0,22406,22406,53560,332.55375505322445,202.8077662378347,228.63070659909175,-251.89712185731705,87.22960374258476,584.4508769105414,0,expanding,losing_streak_fitness,expanding,rep_1
