dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
train,1,0,22406,22406,53560,0,5,1198,7.5,5,28,6,-11.180339887498949,5,-20.0,136.0,156.0,0.8717948717948718,156.0,0.2,-4.0,39.0,4
test,1,0,22406,22406,53560,0,5,1198,7.5,5,28,6,-38.72983346207417,15,-60.0,408.0,468.0,0.8717948717948718,293.0,0.2,-4.0,39.0,6
train,1,0,22406,22406,53560,1,5,2118,7.75,4,15,2,-19.865872559794184,17,-53.0,213.0,266.0,0.8007518796992481,209.0,0.17647058823529413,-3.1176470588235294,19.0,11
test,1,0,22406,22406,53560,1,5,2118,7.75,4,15,2,-91.35468796041985,40,-130.0,497.0,627.0,0.7926634768740032,295.0,0.175,-3.25,19.0,9
train,1,0,22406,22406,53560,2,5,2118,8.25,4,15,2,5.4,9,9.0,142.0,133.0,1.0676691729323309,95.0,0.2222222222222222,1.0,19.0,5
test,1,0,22406,22406,53560,2,5,2118,8.25,4,15,2,-76.68115805072325,30,-210.0,284.0,494.0,0.5748987854251012,309.0,0.13333333333333333,-7.0,19.0,15
train,1,0,22406,22406,53560,3,6,1114,5.5,4,9,2,61.746330862651256,23,103.0,369.0,266.0,1.387218045112782,152.0,0.391304347826087,4.478260869565218,19.0,8
test,1,0,22406,22406,53560,3,6,1114,5.5,4,9,2,-227.845518382332,50,-290.0,451.0,741.0,0.6086369770580297,353.0,0.22,-5.8,19.0,9
train,1,0,22406,22406,53560,4,8,1198,6.5,5,15,2,40.41658075592243,6,66.0,142.0,76.0,1.868421052631579,76.0,0.3333333333333333,11.0,19.0,4
test,1,0,22406,22406,53560,4,8,1198,6.5,5,15,2,11.846811333667393,13,23.0,213.0,190.0,1.1210526315789473,133.0,0.23076923076923078,1.7692307692307692,19.0,7
train,1,0,22406,22406,53560,5,5,1523,7.75,4,9,2,174.28425057933376,15,135.0,287.0,152.0,1.888157894736842,73.0,0.4666666666666667,9.0,19.0,3
test,1,0,22406,22406,53560,5,5,1523,7.75,4,9,2,-79.50894210716176,43,-97.0,492.0,589.0,0.8353140916808149,238.0,0.27906976744186046,-2.255813953488372,19.0,8
train,1,0,22406,22406,53560,6,5,1198,7.75,4,9,2,207.9201235517567,13,173.0,287.0,114.0,2.517543859649123,57.0,0.5384615384615384,13.307692307692308,19.0,3
test,1,0,22406,22406,53560,6,5,1198,7.75,4,9,2,-79.50894210716176,43,-97.0,492.0,589.0,0.8353140916808149,238.0,0.27906976744186046,-2.255813953488372,19.0,8
train,1,0,22406,22406,53560,7,6,1114,7.75,4,9,2,152.4204710660612,12,132.0,246.0,114.0,2.1578947368421053,57.0,0.5,11.0,19.0,3
test,1,0,22406,22406,53560,7,6,1114,7.75,4,9,2,-20.571428571428573,36,-24.0,451.0,475.0,0.9494736842105264,133.0,0.3055555555555556,-0.6666666666666666,19.0,7
train,1,0,22406,22406,53560,8,5,1281,7.5,4,9,2,207.9201235517567,13,173.0,287.0,114.0,2.517543859649123,57.0,0.5384615384615384,13.307692307692308,19.0,3
test,1,0,22406,22406,53560,8,5,1281,7.5,4,9,2,-79.50894210716176,43,-97.0,492.0,589.0,0.8353140916808149,238.0,0.27906976744186046,-2.255813953488372,19.0,8
train,1,0,22406,22406,53560,9,6,503,7.75,4,9,2,250.40517167183268,11,151.0,246.0,95.0,2.5894736842105264,38.0,0.5454545454545454,13.727272727272727,19.0,2
test,1,0,22406,22406,53560,9,6,503,7.75,4,9,2,-22.045407685048602,24,-36.0,287.0,323.0,0.8885448916408669,152.0,0.2916666666666667,-1.5,19.0,8
