entry_index,exit_index,direction,entry_price,exit_price,exit_reason,entry_timestamp,exit_timestamp,result,window_id,train_start,train_end,test_start,test_end,generation,repetition_id
2450,2455,short,30492.75,30487.25,TP,2026-06-17 15:30:01.008,2026-06-17 15:30:01.008,22.0,1,0,53560,53560,86986,2,2
2456,2461,short,30485.25,30488.0,SL,2026-06-17 15:30:01.008,2026-06-17 15:30:01.012,-11.0,1,0,53560,53560,86986,2,2
8525,8529,long,30477.0,30481.0,TP,2026-06-18 15:36:36.035,2026-06-18 15:36:36.035,16.0,2,22406,86986,86986,125287,5,2
8530,8531,long,30482.25,30480.25,SL,2026-06-18 15:36:36.035,2026-06-18 15:36:36.036,-8.0,2,22406,86986,86986,125287,5,2
9268,9272,short,30414.25,30416.25,SL,2026-06-18 15:37:47.137,2026-06-18 15:37:47.139,-8.0,2,22406,86986,86986,125287,5,2
10044,10047,long,30455.0,30453.0,SL,2026-06-18 15:39:15.457,2026-06-18 15:39:15.459,-8.0,2,22406,86986,86986,125287,5,2
13050,13051,long,30478.0,30476.0,SL,2026-06-18 15:45:26.232,2026-06-18 15:45:26.237,-8.0,2,22406,86986,86986,125287,5,2
