window_id,first_generation,last_generation,first_population_best_fitness,last_population_best_fitness,population_best_improvement,first_population_average_fitness,last_population_average_fitness,population_average_improvement,first_population_median_fitness,last_population_median_fitness,population_median_improvement,first_std_fitness,last_std_fitness,std_change,first_fitness_range,last_fitness_range,fitness_range_change,first_best_so_far_fitness,last_best_so_far_fitness,best_so_far_improvement,final_selected_generation,number_of_generations_observed,optimizer_learned
1,0.0,100.0,-107.23753488815792,63.355259362494046,170.59279425065196,-1873.6802704067493,27.87613354413161,1901.5564039508808,-1000.0,63.355259362494046,1063.355259362494,3453.9712852030734,182.2490281489648,-3271.7222570541085,21159.84359525093,1063.355259362494,-20096.488335888436,-107.23753488815792,167.70509831248424,274.94263320064215,8,101,True
2,0.0,100.0,11.180339887498947,52.1749194749951,40.994579587496155,-3978.376091021271,51.06843900015595,4029.444530021427,-1000.0,52.1749194749951,1052.174919474995,13626.655109357866,6.3782383322520255,-13620.276871025613,114671.5767285273,54.74634804642367,-114616.83038048088,11.180339887498947,97.28309205612248,86.10275216862354,4,101,True
3,0.0,100.0,88.18163074019441,324.2298567374695,236.0482259972751,-2717.6430379209046,291.3476996911819,3008.9907376120864,-1000.0,324.2298567374695,1324.2298567374696,6604.138790436936,190.6069392347518,-6413.531851202184,43001.40025810489,1324.2298567374696,-41677.170401367424,88.18163074019441,324.2298567374695,236.0482259972751,11,101,True
4,0.0,100.0,432.0,592.0,160.0,-2879.667280966892,566.606580015449,3446.273860982341,-572.0289051623156,592.0,1164.0289051623156,6863.1348484066575,83.87191523296195,-6779.262933173695,52426.11474027613,387.2,-52038.91474027613,432.0,592.0,160.0,7,101,True
