dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
test,1,0,86986,86986,125287,24,14,3907,5.5,3,19,2,1210.5,9,269.0,364.0,95.0,3.831578947368421,38.0,0.4444444444444444,29.88888888888889,19.0,2
train,1,0,86986,86986,125287,25,14,3762,5.5,3,19,2,525.4759747124506,5,235.0,273.0,38.0,7.184210526315789,19.0,0.6,47.0,19.0,1
test,1,0,86986,86986,125287,25,14,3762,5.5,3,19,2,1210.5,9,269.0,364.0,95.0,3.831578947368421,38.0,0.4444444444444444,29.88888888888889,19.0,2
train,1,0,86986,86986,125287,26,14,3762,5.5,5,19,2,525.4759747124506,5,235.0,273.0,38.0,7.184210526315789,19.0,0.6,47.0,19.0,1
test,1,0,86986,86986,125287,26,14,3762,5.5,5,19,2,1210.5,9,269.0,364.0,95.0,3.831578947368421,38.0,0.4444444444444444,29.88888888888889,19.0,2
train,1,0,86986,86986,125287,27,14,3341,5.5,6,19,2,525.4759747124506,5,235.0,273.0,38.0,7.184210526315789,19.0,0.6,47.0,19.0,1
test,1,0,86986,86986,125287,27,14,3341,5.5,6,19,2,1210.5,9,269.0,364.0,95.0,3.831578947368421,38.0,0.4444444444444444,29.88888888888889,19.0,2
train,1,0,86986,86986,125287,28,14,3341,5.5,6,19,2,525.4759747124506,5,235.0,273.0,38.0,7.184210526315789,19.0,0.6,47.0,19.0,1
test,1,0,86986,86986,125287,28,14,3341,5.5,6,19,2,1210.5,9,269.0,364.0,95.0,3.831578947368421,38.0,0.4444444444444444,29.88888888888889,19.0,2
train,1,0,86986,86986,125287,29,14,3907,5.75,4,19,2,525.4759747124506,5,235.0,273.0,38.0,7.184210526315789,19.0,0.6,47.0,19.0,1
