window_id,first_generation,last_generation,first_population_best_fitness,last_population_best_fitness,population_best_improvement,first_population_average_fitness,last_population_average_fitness,population_average_improvement,first_population_median_fitness,last_population_median_fitness,population_median_improvement,first_std_fitness,last_std_fitness,std_change,first_fitness_range,last_fitness_range,fitness_range_change,first_best_so_far_fitness,last_best_so_far_fitness,best_so_far_improvement,final_selected_generation,number_of_generations_observed,optimizer_learned
1,0.0,100.0,50.31152949374527,424.2384235309197,373.9268940371744,-2242.0623185288614,406.8733567217649,2648.9356752506264,-1000.0,424.2384235309197,1424.2384235309196,4990.994600575103,62.55780995064983,-4928.436790624452,31554.4768770874,328.35474400202384,-31226.122133085377,50.31152949374527,424.2384235309197,373.9268940371744,61,101,True
2,0.0,100.0,342.0,560.0285706997457,218.02857069974573,-5043.638247126038,502.5865572988757,5546.224804424914,-1000.0,560.0285706997457,1560.0285706997456,24109.154396482267,141.79787551123565,-23967.356520971032,235621.212335578,555.1798384858951,-235066.0324970921,342.0,560.0285706997457,218.02857069974573,5,101,True
3,0.0,100.0,238.5,942.8976614670332,704.3976614670332,-11037.354373717264,895.709505235529,11933.063878952793,-1142.561534556086,942.8976614670332,2085.459196023119,30514.562839274724,159.41296366852123,-30355.149875606203,213514.55421068723,751.3625798240089,-212763.19163086324,238.5,942.8976614670332,704.3976614670332,11,101,True
