walk_forward_type,fitness_function,train_size,repetition,window_id,first_generation,last_generation,first_train_fitness,last_train_fitness,train_improvement,first_test_fitness,last_test_fitness,test_improvement,first_generalization_gap,last_generalization_gap,gap_change,number_of_generations_observed,overfit_flag
rolling,losing_streak_fitness,2_days,rep_1,1,0,100,50.31152949374527,424.2384235309197,373.9268940371744,-1000.0,-33.333333333333336,966.6666666666666,1050.3115294937452,457.571756864253,-592.7397726294921,101,False
rolling,losing_streak_fitness,2_days,rep_1,2,0,100,342.0,560.0285706997457,218.02857069974573,-118.58541225631424,311.88018532763505,430.46559758394926,460.58541225631427,248.14838537211068,-212.4370268842036,101,False
rolling,losing_streak_fitness,2_days,rep_1,3,0,100,238.5,942.8976614670332,704.3976614670332,-1000.0,-1000.0,0.0,1238.5,1942.8976614670332,704.3976614670332,101,True
rolling,losing_streak_fitness,2_days,rep_2,1,0,100,25.311394008759507,894.1767163150693,868.8653223063097,55.90169943749474,-125.58216433873082,-181.48386377622558,-30.590305428735235,1019.7588806538001,1050.3491860825354,101,True
rolling,losing_streak_fitness,2_days,rep_2,2,0,100,391.3118960624632,793.8041320124254,402.4922359499622,161.66632302368973,115.95018087284058,-45.71614215084915,229.64557303877345,677.8539511395848,448.2083781008113,101,True
rolling,losing_streak_fitness,2_days,rep_2,3,0,100,488.43832773442335,1193.5887063808873,705.1503786464639,-1000.0,-1000.0,0.0,1488.4383277344234,2193.5887063808873,705.1503786464639,101,True
rolling,losing_streak_fitness,2_days,rep_3,1,0,100,-26.08745973749755,894.1767163150693,920.2641760525668,-1000.0,-116.6249876960424,883.3750123039576,973.9125402625025,1010.8017040111116,36.88916374860912,101,False
rolling,losing_streak_fitness,2_days,rep_3,2,0,100,313.0495168499706,659.640053362438,346.59053651246745,76.1976377586602,106.8,30.60236224133979,236.85187909131037,552.8400533624381,315.9881742711277,101,False
rolling,losing_streak_fitness,2_days,rep_3,3,0,100,237.33333333333331,1193.5887063808873,956.255373047554,-1000.0,-1000.0,0.0,1237.3333333333333,2193.5887063808873,956.255373047554,101,True
