dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
train,1,0,22406,22406,53560,0,7,1563,8.75,4,4,4,-49.0260701622673,8,-52.0,64.0,116.0,0.5517241379310345,87.0,0.5,-6.5,29.0,3
test,1,0,22406,22406,53560,0,7,1563,8.75,4,4,4,-206.22075550244693,23,-172.0,176.0,348.0,0.5057471264367817,239.0,0.4782608695652174,-7.478260869565218,29.0,4
train,1,0,22406,22406,53560,1,6,855,7.25,4,25,3,31.714285714285715,9,74.0,242.0,168.0,1.4404761904761905,168.0,0.2222222222222222,8.222222222222221,24.0,7
test,1,0,22406,22406,53560,1,6,855,7.25,4,25,3,-12.5,25,-20.0,484.0,504.0,0.9603174603174603,192.0,0.16,-0.8,24.0,8
train,1,0,22406,22406,53560,2,9,1563,8.75,2,15,4,-33.54101966249684,5,-45.0,71.0,116.0,0.6120689655172413,87.0,0.2,-9.0,29.0,3
test,1,0,22406,22406,53560,2,9,1563,8.75,2,15,4,-73.94316626122182,18,-122.0,284.0,406.0,0.6995073891625616,277.0,0.2222222222222222,-6.777777777777778,29.0,7
train,1,0,22406,22406,53560,3,7,2035,9.25,4,12,4,27.95084971874737,5,25.0,112.0,87.0,1.2873563218390804,58.0,0.4,5.0,29.0,2
test,1,0,22406,22406,53560,3,7,2035,9.25,4,12,4,-73.58668357794093,15,-95.0,224.0,319.0,0.7021943573667712,149.0,0.26666666666666666,-6.333333333333333,29.0,5
train,1,0,22406,22406,53560,4,7,1563,8.75,4,15,4,21.228911104120876,6,26.0,142.0,116.0,1.2241379310344827,87.0,0.3333333333333333,4.333333333333333,29.0,3
test,1,0,22406,22406,53560,4,7,1563,8.75,4,15,4,-51.2,16,-64.0,284.0,348.0,0.8160919540229885,190.0,0.25,-4.0,29.0,5
train,1,0,22406,22406,53560,5,7,1563,9.5,4,15,4,61.49186938124422,5,55.0,142.0,87.0,1.632183908045977,58.0,0.4,11.0,29.0,2
test,1,0,22406,22406,53560,5,7,1563,9.5,4,15,4,-49.57696037475472,14,-106.0,213.0,319.0,0.6677115987460815,232.0,0.21428571428571427,-7.571428571428571,29.0,8
train,1,0,22406,22406,53560,6,7,1563,9.25,4,15,4,61.49186938124422,5,55.0,142.0,87.0,1.632183908045977,58.0,0.4,11.0,29.0,2
test,1,0,22406,22406,53560,6,7,1563,9.25,4,15,4,-49.57696037475472,14,-106.0,213.0,319.0,0.6677115987460815,232.0,0.21428571428571427,-7.571428571428571,29.0,8
train,1,0,22406,22406,53560,7,7,1563,8.75,4,15,2,53.88877434122991,6,66.0,142.0,76.0,1.868421052631579,57.0,0.3333333333333333,11.0,19.0,3
test,1,0,22406,22406,53560,7,7,1563,8.75,4,15,2,-13.6,16,-34.0,213.0,247.0,0.8623481781376519,190.0,0.1875,-2.125,19.0,10
train,1,0,22406,22406,53560,8,7,1563,9.25,4,15,4,61.49186938124422,5,55.0,142.0,87.0,1.632183908045977,58.0,0.4,11.0,29.0,2
test,1,0,22406,22406,53560,8,7,1563,9.25,4,15,4,-49.57696037475472,14,-106.0,213.0,319.0,0.6677115987460815,232.0,0.21428571428571427,-7.571428571428571,29.0,8
train,1,0,22406,22406,53560,9,7,1563,9.0,4,15,2,95.03288904374106,5,85.0,142.0,57.0,2.491228070175439,38.0,0.4,17.0,19.0,2
test,1,0,22406,22406,53560,9,7,1563,9.0,4,15,2,1.8708286933869707,14,4.0,213.0,209.0,1.0191387559808613,152.0,0.21428571428571427,0.2857142857142857,19.0,8
train,1,0,22406,22406,53560,10,7,1563,9.0,4,15,2,95.03288904374106,5,85.0,142.0,57.0,2.491228070175439,38.0,0.4,17.0,19.0,2
test,1,0,22406,22406,53560,10,7,1563,9.0,4,15,2,1.8708286933869707,14,4.0,213.0,209.0,1.0191387559808613,152.0,0.21428571428571427,0.2857142857142857,19.0,8
train,1,0,22406,22406,53560,11,7,1563,9.0,4,15,2,95.03288904374106,5,85.0,142.0,57.0,2.491228070175439,38.0,0.4,17.0,19.0,2
test,1,0,22406,22406,53560,11,7,1563,9.0,4,15,2,1.8708286933869707,14,4.0,213.0,209.0,1.0191387559808613,152.0,0.21428571428571427,0.2857142857142857,19.0,8
train,1,0,22406,22406,53560,12,6,1563,9.0,4,15,2,95.03288904374106,5,85.0,142.0,57.0,2.491228070175439,38.0,0.4,17.0,19.0,2
test,1,0,22406,22406,53560,12,6,1563,9.0,4,15,2,28.0,16,56.0,284.0,228.0,1.2456140350877194,152.0,0.25,3.5,19.0,8
train,1,0,22406,22406,53560,13,7,1563,9.0,4,15,2,95.03288904374106,5,85.0,142.0,57.0,2.491228070175439,38.0,0.4,17.0,19.0,2
test,1,0,22406,22406,53560,13,7,1563,9.0,4,15,2,1.8708286933869707,14,4.0,213.0,209.0,1.0191387559808613,152.0,0.21428571428571427,0.2857142857142857,19.0,8
train,1,0,22406,22406,53560,14,7,1563,9.0,4,16,2,106.21322893124001,5,95.0,152.0,57.0,2.6666666666666665,38.0,0.4,19.0,19.0,2
test,1,0,22406,22406,53560,14,7,1563,9.0,4,16,2,8.88643629358811,14,19.0,228.0,209.0,1.0909090909090908,152.0,0.21428571428571427,1.3571428571428572,19.0,8
train,1,0,22406,22406,53560,15,7,1563,9.0,4,16,2,106.21322893124001,5,95.0,152.0,57.0,2.6666666666666665,38.0,0.4,19.0,19.0,2
test,1,0,22406,22406,53560,15,7,1563,9.0,4,16,2,8.88643629358811,14,19.0,228.0,209.0,1.0909090909090908,152.0,0.21428571428571427,1.3571428571428572,19.0,8
train,1,0,22406,22406,53560,16,7,1453,9.0,4,16,2,106.21322893124001,5,95.0,152.0,57.0,2.6666666666666665,38.0,0.4,19.0,19.0,2
test,1,0,22406,22406,53560,16,7,1453,9.0,4,16,2,8.88643629358811,14,19.0,228.0,209.0,1.0909090909090908,152.0,0.21428571428571427,1.3571428571428572,19.0,8
train,1,0,22406,22406,53560,17,7,1594,9.0,4,16,2,106.21322893124001,5,95.0,152.0,57.0,2.6666666666666665,38.0,0.4,19.0,19.0,2
