window_id,first_generation,last_generation,first_population_best_fitness,last_population_best_fitness,population_best_improvement,first_population_average_fitness,last_population_average_fitness,population_average_improvement,first_population_median_fitness,last_population_median_fitness,population_median_improvement,first_std_fitness,last_std_fitness,std_change,first_fitness_range,last_fitness_range,fitness_range_change,first_best_so_far_fitness,last_best_so_far_fitness,best_so_far_improvement,final_selected_generation,number_of_generations_observed,optimizer_learned
1,0.0,100.0,106.0,106.0,0.0,-2026.45,98.65,2125.1,-484.0,106.0,590.0,3941.704562249765,27.75192231034081,-3913.952639939424,24480.0,140.0,-24340.0,106.0,131.0,25.0,3,101,True
2,0.0,100.0,197.0,355.0,158.0,-1924.8,347.45,2272.25,-412.0,355.0,767.0,4151.659118273493,34.26025615075216,-4117.398862122741,23093.0,262.0,-22831.0,197.0,355.0,158.0,9,101,True
3,0.0,100.0,104.0,520.0,416.0,-3644.19,507.67,4151.86,-1000.0,520.0,1520.0,6078.54881786863,37.09612275201175,-6041.452695116618,37171.0,269.0,-36902.0,104.0,520.0,416.0,7,101,True
