dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,walk_forward_type,fitness_function,train_size,repetition,analysis_generation,selected_generation
test,1,0,86986,86986,125287,0,12,246,10.0,4,23,20,-981.0,3,-327.0,0.0,327.0,0.0,327.0,0.0,-109.0,109.0,3,rolling,net_profit_fitness,3_days,rep_1,0,0
train,1,0,86986,86986,125287,0,12,246,10.0,4,23,20,222.0,2,222.0,222.0,0.0,inf,0.0,1.0,111.0,0.0,0,rolling,net_profit_fitness,3_days,rep_1,0,0
test,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,210.0,10,70.0,262.0,192.0,1.3645833333333333,144.0,0.2,7.0,24.0,6,rolling,net_profit_fitness,3_days,rep_1,1,1
train,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,321.0,6,321.0,393.0,72.0,5.458333333333333,48.0,0.5,53.5,24.0,2,rolling,net_profit_fitness,3_days,rep_1,1,1
test,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,210.0,10,70.0,262.0,192.0,1.3645833333333333,144.0,0.2,7.0,24.0,6,rolling,net_profit_fitness,3_days,rep_1,2,1
train,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,321.0,6,321.0,393.0,72.0,5.458333333333333,48.0,0.5,53.5,24.0,2,rolling,net_profit_fitness,3_days,rep_1,2,1
test,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,210.0,10,70.0,262.0,192.0,1.3645833333333333,144.0,0.2,7.0,24.0,6,rolling,net_profit_fitness,3_days,rep_1,3,1
train,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,321.0,6,321.0,393.0,72.0,5.458333333333333,48.0,0.5,53.5,24.0,2,rolling,net_profit_fitness,3_days,rep_1,3,1
test,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,210.0,10,70.0,262.0,192.0,1.3645833333333333,144.0,0.2,7.0,24.0,6,rolling,net_profit_fitness,3_days,rep_1,4,1
train,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,321.0,6,321.0,393.0,72.0,5.458333333333333,48.0,0.5,53.5,24.0,2,rolling,net_profit_fitness,3_days,rep_1,4,1
test,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,210.0,10,70.0,262.0,192.0,1.3645833333333333,144.0,0.2,7.0,24.0,6,rolling,net_profit_fitness,3_days,rep_1,5,1
train,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,321.0,6,321.0,393.0,72.0,5.458333333333333,48.0,0.5,53.5,24.0,2,rolling,net_profit_fitness,3_days,rep_1,5,1
test,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,210.0,10,70.0,262.0,192.0,1.3645833333333333,144.0,0.2,7.0,24.0,6,rolling,net_profit_fitness,3_days,rep_1,6,1
train,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,321.0,6,321.0,393.0,72.0,5.458333333333333,48.0,0.5,53.5,24.0,2,rolling,net_profit_fitness,3_days,rep_1,6,1
test,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,210.0,10,70.0,262.0,192.0,1.3645833333333333,144.0,0.2,7.0,24.0,6,rolling,net_profit_fitness,3_days,rep_1,7,1
train,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,321.0,6,321.0,393.0,72.0,5.458333333333333,48.0,0.5,53.5,24.0,2,rolling,net_profit_fitness,3_days,rep_1,7,1
test,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,210.0,10,70.0,262.0,192.0,1.3645833333333333,144.0,0.2,7.0,24.0,6,rolling,net_profit_fitness,3_days,rep_1,8,1
train,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,321.0,6,321.0,393.0,72.0,5.458333333333333,48.0,0.5,53.5,24.0,2,rolling,net_profit_fitness,3_days,rep_1,8,1
test,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,210.0,10,70.0,262.0,192.0,1.3645833333333333,144.0,0.2,7.0,24.0,6,rolling,net_profit_fitness,3_days,rep_1,9,1
train,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,321.0,6,321.0,393.0,72.0,5.458333333333333,48.0,0.5,53.5,24.0,2,rolling,net_profit_fitness,3_days,rep_1,9,1
test,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,210.0,10,70.0,262.0,192.0,1.3645833333333333,144.0,0.2,7.0,24.0,6,rolling,net_profit_fitness,3_days,rep_1,10,1
