dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,walk_forward_type,fitness_function,train_size,repetition
train,1,0,86986,86986,125287,0,12,246,10.0,4,23,20,222.0,2,222.0,222.0,0.0,inf,0.0,1.0,111.0,0.0,0,rolling,net_profit_fitness,3_days,rep_1
test,1,0,86986,86986,125287,0,12,246,10.0,4,23,20,-981.0,3,-327.0,0.0,327.0,0.0,327.0,0.0,-109.0,109.0,3,rolling,net_profit_fitness,3_days,rep_1
train,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,321.0,6,321.0,393.0,72.0,5.458333333333333,48.0,0.5,53.5,24.0,2,rolling,net_profit_fitness,3_days,rep_1
test,1,0,86986,86986,125287,1,12,524,6.75,1,27,3,210.0,10,70.0,262.0,192.0,1.3645833333333333,144.0,0.2,7.0,24.0,6,rolling,net_profit_fitness,3_days,rep_1
train,1,0,86986,86986,125287,2,13,524,8.0,8,27,22,262.0,2,262.0,262.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,3_days,rep_1
test,1,0,86986,86986,125287,2,13,524,8.0,8,27,22,-1071.0,3,-357.0,0.0,357.0,0.0,357.0,0.0,-119.0,119.0,3,rolling,net_profit_fitness,3_days,rep_1
train,1,0,86986,86986,125287,3,15,2493,4.5,2,16,6,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0,rolling,net_profit_fitness,3_days,rep_1
test,1,0,86986,86986,125287,3,15,2493,4.5,2,16,6,99.0,8,33.0,228.0,195.0,1.1692307692307693,156.0,0.375,4.125,39.0,4,rolling,net_profit_fitness,3_days,rep_1
train,1,0,86986,86986,125287,4,12,524,6.5,5,27,6,276.0,6,276.0,393.0,117.0,3.358974358974359,78.0,0.5,46.0,39.0,2,rolling,net_profit_fitness,3_days,rep_1
test,1,0,86986,86986,125287,4,12,524,6.5,5,27,6,-150.0,10,-50.0,262.0,312.0,0.8397435897435898,234.0,0.2,-5.0,39.0,6,rolling,net_profit_fitness,3_days,rep_1
train,1,0,86986,86986,125287,5,12,2879,10.0,4,23,2,295.0,5,295.0,333.0,38.0,8.763157894736842,38.0,0.6,59.0,19.0,2,rolling,net_profit_fitness,3_days,rep_1
test,1,0,86986,86986,125287,5,12,2879,10.0,4,23,2,267.0,9,89.0,222.0,133.0,1.669172932330827,133.0,0.2222222222222222,9.88888888888889,19.0,7,rolling,net_profit_fitness,3_days,rep_1
train,1,0,86986,86986,125287,6,13,1805,10.0,2,23,2,257.0,7,257.0,333.0,76.0,4.381578947368421,38.0,0.4285714285714285,36.71428571428572,19.0,2,rolling,net_profit_fitness,3_days,rep_1
test,1,0,86986,86986,125287,6,13,1805,10.0,2,23,2,933.0,11,311.0,444.0,133.0,3.338345864661654,76.0,0.3636363636363636,28.272727272727277,19.0,4,rolling,net_profit_fitness,3_days,rep_1
train,1,0,86986,86986,125287,7,12,679,3.5,5,27,2,298.0,8,298.0,393.0,95.0,4.136842105263158,57.0,0.375,37.25,19.0,3,rolling,net_profit_fitness,3_days,rep_1
test,1,0,86986,86986,125287,7,12,679,3.5,5,27,2,330.0,10,110.0,262.0,152.0,1.7236842105263157,114.0,0.2,11.0,19.0,6,rolling,net_profit_fitness,3_days,rep_1
train,1,0,86986,86986,125287,8,12,679,6.75,5,27,2,317.0,7,317.0,393.0,76.0,5.171052631578948,38.0,0.4285714285714285,45.285714285714285,19.0,2,rolling,net_profit_fitness,3_days,rep_1
test,1,0,86986,86986,125287,8,12,679,6.75,5,27,2,330.0,10,110.0,262.0,152.0,1.7236842105263157,114.0,0.2,11.0,19.0,6,rolling,net_profit_fitness,3_days,rep_1
train,1,0,86986,86986,125287,9,12,679,6.5,5,27,2,317.0,7,317.0,393.0,76.0,5.171052631578948,38.0,0.4285714285714285,45.285714285714285,19.0,2,rolling,net_profit_fitness,3_days,rep_1
test,1,0,86986,86986,125287,9,12,679,6.5,5,27,2,330.0,10,110.0,262.0,152.0,1.7236842105263157,114.0,0.2,11.0,19.0,6,rolling,net_profit_fitness,3_days,rep_1
train,1,0,86986,86986,125287,10,12,679,3.75,6,27,2,317.0,7,317.0,393.0,76.0,5.171052631578948,38.0,0.4285714285714285,45.285714285714285,19.0,2,rolling,net_profit_fitness,3_days,rep_1
test,1,0,86986,86986,125287,10,12,679,3.75,6,27,2,330.0,10,110.0,262.0,152.0,1.7236842105263157,114.0,0.2,11.0,19.0,6,rolling,net_profit_fitness,3_days,rep_1
train,1,0,86986,86986,125287,11,12,482,3.75,6,27,2,336.0,6,336.0,393.0,57.0,6.894736842105263,38.0,0.5,56.0,19.0,2,rolling,net_profit_fitness,3_days,rep_1
test,1,0,86986,86986,125287,11,12,482,3.75,6,27,2,330.0,10,110.0,262.0,152.0,1.7236842105263157,114.0,0.2,11.0,19.0,6,rolling,net_profit_fitness,3_days,rep_1
train,1,0,86986,86986,125287,12,12,482,3.75,3,27,2,336.0,6,336.0,393.0,57.0,6.894736842105263,38.0,0.5,56.0,19.0,2,rolling,net_profit_fitness,3_days,rep_1
test,1,0,86986,86986,125287,12,12,482,3.75,3,27,2,330.0,10,110.0,262.0,152.0,1.7236842105263157,114.0,0.2,11.0,19.0,6,rolling,net_profit_fitness,3_days,rep_1
train,1,0,86986,86986,125287,13,13,497,8.25,4,23,2,295.0,5,295.0,333.0,38.0,8.763157894736842,19.0,0.6,59.0,19.0,1,rolling,net_profit_fitness,3_days,rep_1
test,1,0,86986,86986,125287,13,13,497,8.25,4,23,2,-66.0,8,-22.0,111.0,133.0,0.8345864661654135,95.0,0.125,-2.75,19.0,5,rolling,net_profit_fitness,3_days,rep_1
train,1,0,86986,86986,125287,14,12,482,3.75,3,27,3,321.0,6,321.0,393.0,72.0,5.458333333333333,48.0,0.5,53.5,24.0,2,rolling,net_profit_fitness,3_days,rep_1
test,1,0,86986,86986,125287,14,12,482,3.75,3,27,3,210.0,10,70.0,262.0,192.0,1.3645833333333333,144.0,0.2,7.0,24.0,6,rolling,net_profit_fitness,3_days,rep_1
train,1,0,86986,86986,125287,15,12,524,3.75,3,27,3,321.0,6,321.0,393.0,72.0,5.458333333333333,48.0,0.5,53.5,24.0,2,rolling,net_profit_fitness,3_days,rep_1
test,1,0,86986,86986,125287,15,12,524,3.75,3,27,3,138.0,11,46.0,262.0,216.0,1.212962962962963,144.0,0.1818181818181818,4.181818181818182,24.0,6,rolling,net_profit_fitness,3_days,rep_1
train,1,0,86986,86986,125287,16,13,497,9.0,5,23,3,309.0,4,309.0,333.0,24.0,13.875,24.0,0.75,77.25,24.0,1,rolling,net_profit_fitness,3_days,rep_1
test,1,0,86986,86986,125287,16,13,497,9.0,5,23,3,-360.0,5,-120.0,0.0,120.0,0.0,120.0,0.0,-24.0,24.0,5,rolling,net_profit_fitness,3_days,rep_1
train,1,0,86986,86986,125287,17,13,497,9.0,5,23,5,299.0,4,299.0,333.0,34.0,9.794117647058824,34.0,0.75,74.75,34.0,1,rolling,net_profit_fitness,3_days,rep_1
test,1,0,86986,86986,125287,17,13,497,9.0,5,23,5,-510.0,5,-170.0,0.0,170.0,0.0,170.0,0.0,-34.0,34.0,5,rolling,net_profit_fitness,3_days,rep_1
