dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
test,1,0,22406,22406,53560,18,7,357,6.75,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,19,7,628,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,19,7,628,6.5,4,16,2,266.0,21,266.0,532.0,266.0,2.0,76.0,0.3333333333333333,12.666666666666666,19.0,4
train,1,0,22406,22406,53560,20,7,357,6.25,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,20,7,357,6.25,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,21,7,353,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,21,7,353,6.5,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,22,7,392,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,22,7,392,6.5,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,23,7,628,6.75,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,23,7,628,6.75,4,16,2,266.0,21,266.0,532.0,266.0,2.0,76.0,0.3333333333333333,12.666666666666666,19.0,4
train,1,0,22406,22406,53560,24,7,357,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,24,7,357,6.5,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,25,7,609,6.75,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,25,7,609,6.75,4,16,2,266.0,21,266.0,532.0,266.0,2.0,76.0,0.3333333333333333,12.666666666666666,19.0,4
train,1,0,22406,22406,53560,26,7,392,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,26,7,392,6.5,4,16,2,19.0,14,19.0,228.0,209.0,1.0909090909090908,171.0,0.21428571428571427,1.3571428571428572,19.0,9
train,1,0,22406,22406,53560,27,7,596,6.5,4,16,2,114.0,9,114.0,228.0,114.0,2.0,114.0,0.3333333333333333,12.666666666666666,19.0,6
test,1,0,22406,22406,53560,27,7,596,6.5,4,16,2,266.0,21,266.0,532.0,266.0,2.0,76.0,0.3333333333333333,12.666666666666666,19.0,4
