dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,analysis_generation,selected_generation
test,1,0,86986,86986,125287,0,13,1462,6.5,2,10,3,318.0,16,106.0,322.0,216.0,1.4907407407407407,120.0,0.4375,6.625,24.0,5,0,0
train,1,0,86986,86986,125287,0,13,1462,6.5,2,10,3,158.0,8,158.0,230.0,72.0,3.1944444444444446,24.0,0.625,19.75,24.0,1,0,0
test,1,0,86986,86986,125287,1,13,2378,5.5,7,23,11,-537.0,11,-179.0,333.0,512.0,0.650390625,401.0,0.2727272727272727,-16.272727272727273,64.0,5,1,1
train,1,0,86986,86986,125287,1,13,2378,5.5,7,23,11,205.0,5,205.0,333.0,128.0,2.6015625,64.0,0.6,41.0,64.0,1,1,1
test,1,0,86986,86986,125287,2,15,3229,3.0,5,16,3,324.0,8,108.0,228.0,120.0,1.9,96.0,0.375,13.5,24.0,4,2,2
train,1,0,86986,86986,125287,2,15,3229,3.0,5,16,3,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0,2,2
test,1,0,86986,86986,125287,2,15,3229,3.0,5,16,3,324.0,8,108.0,228.0,120.0,1.9,96.0,0.375,13.5,24.0,4,3,2
train,1,0,86986,86986,125287,2,15,3229,3.0,5,16,3,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0,3,2
test,1,0,86986,86986,125287,4,13,915,8.75,5,23,4,-609.0,7,-203.0,0.0,203.0,0.0,203.0,0.0,-29.0,29.0,7,4,4
train,1,0,86986,86986,125287,4,13,915,8.75,5,23,4,275.0,5,275.0,333.0,58.0,5.741379310344827,29.0,0.6,55.0,29.0,1,4,4
test,1,0,86986,86986,125287,5,13,413,3.0,6,23,3,306.0,7,102.0,222.0,120.0,1.85,72.0,0.2857142857142857,14.571428571428571,24.0,3,5,5
train,1,0,86986,86986,125287,5,13,413,3.0,6,23,3,285.0,5,285.0,333.0,48.0,6.9375,24.0,0.6,57.0,24.0,1,5,5
test,1,0,86986,86986,125287,5,13,413,3.0,6,23,3,306.0,7,102.0,222.0,120.0,1.85,72.0,0.2857142857142857,14.571428571428571,24.0,3,6,5
