walk_forward_type,fitness_function,train_size,repetition,window_id,first_generation,last_generation,first_train_fitness,last_train_fitness,train_improvement,first_test_fitness,last_test_fitness,test_improvement,first_generalization_gap,last_generalization_gap,gap_change,number_of_generations_observed,overfit_flag
rolling,losing_streak_fitness,1_day,rep_1,1,0,100,-4.6283352950392205,1026.3405867449655,1030.9689220400048,-105.272823401573,-74.16719920220798,31.105624199365025,100.64448810653379,1100.5077859471735,999.8632978406397,101,False
rolling,losing_streak_fitness,1_day,rep_1,2,0,100,25.238858928247925,442.7188724235732,417.4800134953253,36.4828726939094,-4.303314829119352,-40.78618752302875,-11.244013765661474,447.02218725269256,458.266201018354,101,True
rolling,losing_streak_fitness,1_day,rep_1,3,0,100,725.0489638638206,725.0489638638206,0.0,-700.6930051741633,-700.6930051741633,0.0,1425.7419690379838,1425.7419690379838,0.0,101,False
rolling,losing_streak_fitness,1_day,rep_1,4,0,100,399.2668280736581,815.8896984274284,416.6228703537703,-1000.0,-1000.0,0.0,1399.266828073658,1815.8896984274284,416.6228703537704,101,True
rolling,losing_streak_fitness,1_day,rep_2,1,0,100,-107.23753488815792,167.70509831248424,274.94263320064215,-350.0,25.427456726058065,375.42745672605804,242.76246511184206,142.27764158642617,-100.48482352541589,101,False
rolling,losing_streak_fitness,1_day,rep_2,2,0,100,11.180339887498947,97.28309205612248,86.10275216862354,-1000.0,-96.98550149378,903.01449850622,1011.1803398874989,194.2685935499025,-816.9117463375965,101,False
rolling,losing_streak_fitness,1_day,rep_2,3,0,100,88.18163074019441,324.2298567374695,236.0482259972751,-1150.0,166.93678111455512,1316.936781114555,1238.1816307401944,157.2930756229144,-1080.88855511728,101,False
rolling,losing_streak_fitness,1_day,rep_2,4,0,100,432.0,592.0,160.0,-1000.0,-1000.0,0.0,1432.0,1592.0,160.0,101,True
rolling,losing_streak_fitness,1_day,rep_3,1,0,100,-49.0260701622673,106.21322893124,155.2392990935073,-206.2207555024469,8.88643629358811,215.107191796035,157.1946853401796,97.32679263765189,-59.86789270252771,101,False
rolling,losing_streak_fitness,1_day,rep_3,2,0,100,46.0399826238021,408.0,361.9600173761979,-101.11801061633837,-98.40213650500684,2.71587411133153,147.15799324014046,506.40213650500687,359.2441432648664,101,False
rolling,losing_streak_fitness,1_day,rep_3,3,0,100,161.66632302368973,363.3610463437158,201.6947233200261,-938.384368061522,-196.4155839862333,741.9687840752887,1100.0506910852116,559.7766303299491,-540.2740607552626,101,False
rolling,losing_streak_fitness,1_day,rep_3,4,0,100,387.2983346207417,600.585547611662,213.28721299092035,-1000.0,-1000.0,0.0,1387.2983346207416,1600.5855476116622,213.28721299092058,101,True
