dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,walk_forward_type,fitness_function,train_size,repetition
test,1,0,53560,53560,86986,13,13,693,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,14,13,693,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,14,13,693,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,15,13,440,5.75,9,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,15,13,440,5.75,9,27,3,214.0,2,107.0,131.0,24.0,5.458333333333333,24.0,0.5,53.5,24.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,16,13,440,5.75,9,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,16,13,440,5.75,9,27,3,214.0,2,107.0,131.0,24.0,5.458333333333333,24.0,0.5,53.5,24.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,17,13,660,5.5,9,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,17,13,660,5.5,9,27,3,214.0,2,107.0,131.0,24.0,5.458333333333333,24.0,0.5,53.5,24.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,18,13,451,5.75,9,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,18,13,451,5.75,9,27,3,214.0,2,107.0,131.0,24.0,5.458333333333333,24.0,0.5,53.5,24.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,19,13,660,5.75,9,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,19,13,660,5.75,9,27,3,214.0,2,107.0,131.0,24.0,5.458333333333333,24.0,0.5,53.5,24.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,20,13,693,5.75,9,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,20,13,693,5.75,9,27,3,214.0,2,107.0,131.0,24.0,5.458333333333333,24.0,0.5,53.5,24.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,21,13,451,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,21,13,451,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,22,13,426,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,22,13,426,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,23,13,440,5.75,9,27,4,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,23,13,440,5.75,9,27,4,204.0,2,102.0,131.0,29.0,4.517241379310345,29.0,0.5,51.0,29.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,24,13,418,5.75,9,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,24,13,418,5.75,9,27,3,214.0,2,107.0,131.0,24.0,5.458333333333333,24.0,0.5,53.5,24.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,25,13,451,5.75,9,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,25,13,451,5.75,9,27,3,214.0,2,107.0,131.0,24.0,5.458333333333333,24.0,0.5,53.5,24.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,26,13,440,5.75,9,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,26,13,440,5.75,9,27,3,214.0,2,107.0,131.0,24.0,5.458333333333333,24.0,0.5,53.5,24.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,27,13,693,5.75,9,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,27,13,693,5.75,9,27,3,214.0,2,107.0,131.0,24.0,5.458333333333333,24.0,0.5,53.5,24.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,28,13,440,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,28,13,440,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,29,13,457,5.75,9,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,29,13,457,5.75,9,27,3,214.0,2,107.0,131.0,24.0,5.458333333333333,24.0,0.5,53.5,24.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,30,13,440,5.75,9,27,4,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,30,13,440,5.75,9,27,4,204.0,2,102.0,131.0,29.0,4.517241379310345,29.0,0.5,51.0,29.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,31,13,594,5.5,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,31,13,594,5.5,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,32,13,440,5.75,9,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,32,13,440,5.75,9,27,3,214.0,2,107.0,131.0,24.0,5.458333333333333,24.0,0.5,53.5,24.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,33,13,658,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,33,13,658,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,34,13,440,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,34,13,440,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,35,13,440,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,35,13,440,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,36,13,422,5.75,9,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,36,13,422,5.75,9,27,3,214.0,2,107.0,131.0,24.0,5.458333333333333,24.0,0.5,53.5,24.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,37,13,440,5.75,9,27,3,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
