dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,walk_forward_type,fitness_function,train_size,repetition
test,1,0,53560,53560,86986,37,13,440,5.75,9,27,3,214.0,2,107.0,131.0,24.0,5.458333333333333,24.0,0.5,53.5,24.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,38,13,440,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,38,13,440,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,39,13,466,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,39,13,466,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,40,13,451,5.5,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,40,13,451,5.5,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,41,13,440,5.75,9,27,4,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,41,13,440,5.75,9,27,4,204.0,2,102.0,131.0,29.0,4.517241379310345,29.0,0.5,51.0,29.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,42,13,440,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,42,13,440,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,43,13,422,5.75,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,43,13,422,5.75,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,44,13,422,5.5,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
test,1,0,53560,53560,86986,44,13,422,5.5,9,27,2,224.0,2,112.0,131.0,19.0,6.894736842105263,19.0,0.5,56.0,19.0,1,rolling,net_profit_fitness,2_days,rep_1
train,1,0,53560,53560,86986,45,13,432,5.5,9,27,2,131.0,1,131.0,131.0,0.0,inf,0.0,1.0,131.0,0.0,0,rolling,net_profit_fitness,2_days,rep_1
