analysis_generation,mean_train_fitness,std_train_fitness,train_observation_count,mean_test_fitness,std_test_fitness,test_observation_count,mean_generalization_gap,std_generalization_gap,gap_observation_count
0,167.33333333333334,33.65016097039259,3,-817.5555555555555,209.4164732280134,3,984.8888888888888,236.82162376244594,3
1,242.33333333333334,23.946700074215745,3,-493.11111111111114,208.7851988510183,3,735.4444444444443,186.88806315050775,3
2,258.77777777777777,5.984548004220096,3,-493.5555555555556,191.66908211038378,3,752.3333333333334,189.0029394245262,3
3,278.44444444444446,7.6036053826336,3,-283.11111111111114,446.7931827458294,3,561.5555555555555,451.52240418553043,3
4,294.1111111111111,18.258432856364486,3,-488.4444444444444,125.6279044256107,3,782.5555555555557,113.62429969633028,3
5,302.6666666666667,10.666666666666636,3,-512.0,165.96519046006136,3,814.6666666666666,167.69151571992074,3
6,308.5555555555556,14.119857307011674,3,-536.6666666666666,154.7356168149761,3,845.2222222222222,155.6500110052226,3
7,310.4444444444444,17.360022188072506,3,-536.6666666666666,154.7356168149761,3,847.111111111111,155.5407532639788,3
8,310.4444444444444,17.360022188072506,3,-536.6666666666666,154.7356168149761,3,847.111111111111,155.5407532639788,3
9,312.1111111111111,20.227410811770945,3,-559.3333333333334,154.4423660931302,3,871.4444444444443,160.2159422409273,3
10,312.1111111111111,20.227410811770945,3,-559.3333333333334,154.4423660931302,3,871.4444444444443,160.2159422409273,3
11,312.1111111111111,20.227410811770945,3,-559.3333333333334,154.4423660931302,3,871.4444444444443,160.2159422409273,3
12,314.0,18.487232831816037,3,-559.3333333333334,154.4423660931302,3,873.3333333333334,157.07464609046372,3
13,314.0,18.487232831816037,3,-559.3333333333334,154.4423660931302,3,873.3333333333334,157.07464609046372,3
14,314.0,18.487232831816037,3,-559.3333333333334,154.4423660931302,3,873.3333333333334,157.07464609046372,3
15,314.0,18.487232831816037,3,-559.3333333333334,154.4423660931302,3,873.3333333333334,157.07464609046372,3
16,314.0,18.487232831816037,3,-559.3333333333334,154.4423660931302,3,873.3333333333334,157.07464609046372,3
17,315.6666666666667,17.323715280248347,3,-560.0,153.38115196391564,3,875.6666666666666,153.20175513935135,3
18,316.6666666666667,16.825905952165254,3,-614.0,76.95308816270972,3,930.6666666666666,67.86588080749982,3
19,316.6666666666667,16.825905952165254,3,-614.0,76.95308816270972,3,930.6666666666666,67.86588080749982,3
20,316.6666666666667,16.825905952165254,3,-614.0,76.95308816270972,3,930.6666666666666,67.86588080749982,3
21,316.6666666666667,16.825905952165254,3,-614.0,76.95308816270972,3,930.6666666666666,67.86588080749982,3
22,316.6666666666667,16.825905952165254,3,-614.0,76.95308816270972,3,930.6666666666666,67.86588080749982,3
23,317.77777777777777,16.469950189944676,3,-605.1111111111111,87.27309203066315,3,922.8888888888888,78.56019159665857,3
24,317.77777777777777,16.469950189944676,3,-605.1111111111111,87.27309203066315,3,922.8888888888888,78.56019159665857,3
25,317.77777777777777,16.469950189944676,3,-605.1111111111111,87.27309203066315,3,922.8888888888888,78.56019159665857,3
26,317.77777777777777,16.469950189944676,3,-605.1111111111111,87.27309203066315,3,922.8888888888888,78.56019159665857,3
27,317.77777777777777,16.469950189944676,3,-605.1111111111111,87.27309203066315,3,922.8888888888888,78.56019159665857,3
28,317.77777777777777,16.469950189944676,3,-605.1111111111111,87.27309203066315,3,922.8888888888888,78.56019159665857,3
29,317.77777777777777,16.469950189944676,3,-605.1111111111111,87.27309203066315,3,922.8888888888888,78.56019159665857,3
30,317.77777777777777,16.469950189944676,3,-605.1111111111111,87.27309203066315,3,922.8888888888888,78.56019159665857,3
31,317.77777777777777,16.469950189944676,3,-605.1111111111111,87.27309203066315,3,922.8888888888888,78.56019159665857,3
32,317.77777777777777,16.469950189944676,3,-605.1111111111111,87.27309203066315,3,922.8888888888888,78.56019159665857,3
33,317.77777777777777,16.469950189944676,3,-605.1111111111111,87.27309203066315,3,922.8888888888888,78.56019159665857,3
34,317.77777777777777,16.469950189944676,3,-605.1111111111111,87.27309203066315,3,922.8888888888888,78.56019159665857,3
35,317.77777777777777,16.469950189944676,3,-605.1111111111111,87.27309203066315,3,922.8888888888888,78.56019159665857,3
36,317.77777777777777,16.469950189944676,3,-605.1111111111111,87.27309203066315,3,922.8888888888888,78.56019159665857,3
37,317.77777777777777,16.469950189944676,3,-605.1111111111111,87.27309203066315,3,922.8888888888888,78.56019159665857,3
