analysis_generation,mean_train_fitness,std_train_fitness,train_observation_count,mean_test_fitness,std_test_fitness,test_observation_count,mean_generalization_gap,std_generalization_gap,gap_observation_count
0,273.40942804484393,133.67710840821871,2,-648.5,497.0960671741429,2,921.9094280448439,630.7731755823618,2
1,446.7046963010776,111.39941025483066,2,-563.727937358744,616.9818678717487,2,1010.4326336598217,505.58245761691813,2
2,446.7046963010776,111.39941025483066,2,-563.727937358744,616.9818678717487,2,1010.4326336598217,505.58245761691813,2
3,570.4893074183819,63.65846560034054,2,-563.727937358744,616.9818678717487,2,1134.2172447771259,680.6403334720893,2
4,570.4893074183819,63.65846560034054,2,-563.727937358744,616.9818678717487,2,1134.2172447771259,680.6403334720893,2
5,774.7379873562253,352.5097188652401,2,-563.727937358744,616.9818678717487,2,1338.4659247149693,969.4915867369888,2
6,774.7379873562253,352.5097188652401,2,-563.727937358744,616.9818678717487,2,1338.4659247149693,969.4915867369888,2
7,774.7379873562253,352.5097188652401,2,-563.727937358744,616.9818678717487,2,1338.4659247149693,969.4915867369888,2
8,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
9,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
10,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
11,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
12,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
13,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
14,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
15,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
16,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
17,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
18,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
19,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
20,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
21,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
22,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
23,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
24,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
25,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
26,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
27,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
28,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
29,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
30,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
31,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
32,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
33,954.7379873562253,607.0681600923972,2,-563.727937358744,616.9818678717487,2,1518.4659247149693,1224.050027964146,2
34,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
35,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
36,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
37,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
38,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
39,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
40,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
41,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
42,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
43,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
44,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
45,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
46,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
47,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
48,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
49,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
50,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
51,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
52,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
53,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
54,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
55,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
56,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
57,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
58,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
59,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
60,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
61,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
62,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
63,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
64,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
65,956.5448922205833,604.5128107273043,2,-389.32028189410676,863.6315396115327,2,1345.86517411469,1468.1443503388368,2
