walk_forward_type,mean_test_fitness,median_test_fitness,std_test_fitness,min_test_fitness,max_test_fitness,mean_net_profit,median_net_profit,mean_max_drawdown,median_max_drawdown,mean_win_rate,mean_expectancy,mean_number_of_trades,number_of_windows
expanding,-606.2453966914762,-38.680101016628186,1367.4303241817045,-4000.0,324.0,-28.708333333333332,0.0,126.25,106.5,0.2347170309397539,2.120122583772963,9.833333333333334,24
rolling,-514.9889181421049,-121.10357601738662,863.0821456987197,-3000.0,381.0,-85.55555555555556,0.0,183.24074074074073,104.5,0.1794548192593017,-1.9220217653037237,8.148148148148149,54
