rank,walk_forward_type,fitness_function,train_size,mean_test_fitness,median_test_fitness,std_test_fitness,min_test_fitness,max_test_fitness,mean_net_profit,median_net_profit,mean_max_drawdown,median_max_drawdown,mean_win_rate,mean_expectancy,mean_number_of_trades,number_of_windows
1,expanding,losing_streak_fitness,expanding,-198.65746004961923,-19.47062298999806,492.15915860058584,-1000.0,229.10259710444143,2.5,0.0,106.91666666666667,95.0,0.2346239571097256,2.4426335050149093,11.25,12
2,rolling,losing_streak_fitness,2_days,-304.5455687964034,-116.6249876960424,538.2693658904589,-1000.0,311.88018532763505,-7.555555555555555,0.0,125.33333333333333,95.0,0.16743310429584937,1.0462432266353836,10.222222222222221,9
3,rolling,losing_streak_fitness,1_day,-330.80967225469243,-97.69381899939341,454.22573194440963,-1000.0,166.93678111455512,-195.58333333333334,-5.0,285.0,161.5,0.16748057011214904,-9.517531201741729,12.75,12
4,rolling,losing_streak_fitness,3_days,-384.6292322416207,-444.6601409470534,678.7261129839236,-1000.0,360.1854522325964,65.16666666666667,35.0,53.833333333333336,47.5,0.12878787878787878,6.242424242424242,5.166666666666667,6
5,rolling,net_profit_fitness,1_day,-428.0833333333333,-323.5,448.23298696778284,-1000.0,222.0,-261.4166666666667,-144.5,352.1666666666667,242.5,0.13372830131983449,-28.47496128331369,9.416666666666666,12
6,rolling,net_profit_fitness,2_days,-605.1111111111111,-4.0,1055.3616020640088,-2000.0,262.0,30.77777777777778,0.0,53.55555555555556,0.0,0.3361111111111111,30.25,3.0,9
7,expanding,net_profit_fitness,expanding,-1013.8333333333334,-147.0,1817.976239135321,-4000.0,324.0,-59.916666666666664,0.0,145.58333333333334,106.5,0.23481010476978217,1.7976116625310172,8.416666666666666,12
8,rolling,net_profit_fitness,3_days,-1368.0,-1459.5,1790.6466988214063,-3000.0,381.0,44.0,13.5,52.666666666666664,28.5,0.12857142857142856,5.5,4.0,6
