window_id,first_generation,last_generation,first_population_best_fitness,last_population_best_fitness,population_best_improvement,first_population_average_fitness,last_population_average_fitness,population_average_improvement,first_population_median_fitness,last_population_median_fitness,population_median_improvement,first_std_fitness,last_std_fitness,std_change,first_fitness_range,last_fitness_range,fitness_range_change,first_best_so_far_fitness,last_best_so_far_fitness,best_so_far_improvement,final_selected_generation,number_of_generations_observed,optimizer_learned
1,0.0,100.0,-54.899339704590254,332.55375505322445,387.4530947578147,-1605.5959388071385,305.7068150804787,1911.3027538876172,-1000.0,332.55375505322445,1332.5537550532244,3472.650453806561,78.5234929997309,-3394.12696080683,27910.231047181784,311.990681353021,-27598.240365828762,-54.899339704590254,332.55375505322445,387.4530947578147,18,101,True
2,0.0,100.0,-15.513435037626794,243.40912061794236,258.92255565556917,-3558.058361946367,201.3043849019305,3759.3627468482973,-1000.0,243.40912061794236,1243.4091206179423,7422.703224188333,139.899209780168,-7282.804014408164,49109.24354146048,1243.4091206179423,-47865.83442084253,-15.513435037626794,243.40912061794236,258.92255565556917,7,101,True
3,0.0,100.0,178.88543819998318,659.640053362438,480.75461516245485,-9306.964127028834,645.7103169715333,9952.674444000368,-1000.0,659.640053362438,1659.640053362438,36576.68049112316,61.19841927484988,-36515.48207184831,348973.5460077045,319.6610098906381,-348653.8849978139,178.88543819998318,676.0591690081571,497.17373080817396,17,101,True
4,0.0,100.0,680.9816443928573,1384.0,703.0183556071427,-26684.516127254887,1308.2241762652752,27992.74030352016,-1019.7178760978832,1384.0,2403.717876097883,93724.75887152816,260.6903061596876,-93464.06856536848,737629.2758414823,1092.3360838224926,-736536.9397576598,680.9816443928573,1384.0,703.0183556071427,4,101,True
