dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak,walk_forward_type,fitness_function,train_size,repetition,analysis_generation,selected_generation
test,1,0,86986,86986,125287,0,13,744,7.75,3,5,2,118.98319209031165,13,33.0,147.0,114.0,1.2894736842105263,74.0,0.5384615384615384,2.5384615384615383,19.0,3,rolling,losing_streak_fitness,3_days,rep_1,0,0
train,1,0,86986,86986,125287,0,13,744,7.75,3,5,2,207.0,9,69.0,126.0,57.0,2.210526315789474,19.0,0.6666666666666666,7.666666666666667,19.0,1,rolling,losing_streak_fitness,3_days,rep_1,0,0
test,1,0,86986,86986,125287,1,12,2741,4.75,9,11,2,467.8202779914526,13,173.0,306.0,133.0,2.300751879699248,76.0,0.4615384615384615,13.307692307692308,19.0,4,rolling,losing_streak_fitness,3_days,rep_1,1,1
train,1,0,86986,86986,125287,1,12,2741,4.75,9,11,2,560.0285706997457,8,198.0,255.0,57.0,4.473684210526316,19.0,0.625,24.75,19.0,1,rolling,losing_streak_fitness,3_days,rep_1,1,1
test,1,0,86986,86986,125287,1,12,2741,4.75,9,11,2,467.8202779914526,13,173.0,306.0,133.0,2.300751879699248,76.0,0.4615384615384615,13.307692307692308,19.0,4,rolling,losing_streak_fitness,3_days,rep_1,2,1
train,1,0,86986,86986,125287,1,12,2741,4.75,9,11,2,560.0285706997457,8,198.0,255.0,57.0,4.473684210526316,19.0,0.625,24.75,19.0,1,rolling,losing_streak_fitness,3_days,rep_1,2,1
test,1,0,86986,86986,125287,1,12,2741,4.75,9,11,2,467.8202779914526,13,173.0,306.0,133.0,2.300751879699248,76.0,0.4615384615384615,13.307692307692308,19.0,4,rolling,losing_streak_fitness,3_days,rep_1,3,1
train,1,0,86986,86986,125287,1,12,2741,4.75,9,11,2,560.0285706997457,8,198.0,255.0,57.0,4.473684210526316,19.0,0.625,24.75,19.0,1,rolling,losing_streak_fitness,3_days,rep_1,3,1
test,1,0,86986,86986,125287,1,12,2741,4.75,9,11,2,467.8202779914526,13,173.0,306.0,133.0,2.300751879699248,76.0,0.4615384615384615,13.307692307692308,19.0,4,rolling,losing_streak_fitness,3_days,rep_1,4,1
train,1,0,86986,86986,125287,1,12,2741,4.75,9,11,2,560.0285706997457,8,198.0,255.0,57.0,4.473684210526316,19.0,0.625,24.75,19.0,1,rolling,losing_streak_fitness,3_days,rep_1,4,1
