entry_index,exit_index,direction,entry_price,exit_price,exit_reason,entry_timestamp,exit_timestamp,result,window_id,train_start,train_end,test_start,test_end,generation,repetition_id
8523,8526,long,30472.0,30477.75,TP,2026-06-18 15:36:36.035,2026-06-18 15:36:36.035,23.0,1,0,86986,86986,125287,9,2
8527,8531,long,30479.5,30478.75,SL,2026-06-18 15:36:36.035,2026-06-18 15:36:36.036,-3.0,1,0,86986,86986,125287,9,2
8591,8593,short,30439.5,30440.25,SL,2026-06-18 15:36:37.779,2026-06-18 15:36:37.781,-3.0,1,0,86986,86986,125287,9,2
9266,9271,short,30416.75,30411.0,TP,2026-06-18 15:37:47.137,2026-06-18 15:37:47.137,23.0,1,0,86986,86986,125287,9,2
10042,10047,long,30452.5,30451.75,SL,2026-06-18 15:39:15.457,2026-06-18 15:39:15.459,-3.0,1,0,86986,86986,125287,9,2
11419,11420,short,30431.25,30432.0,SL,2026-06-18 15:42:03.839,2026-06-18 15:42:03.840,-3.0,1,0,86986,86986,125287,9,2
21538,21539,short,30559.5,30560.25,SL,2026-06-18 16:07:25.078,2026-06-18 16:07:25.087,-3.0,1,0,86986,86986,125287,9,2
